time,voltage,current,joules,temp
60,1.48,0.27,24.42,20.87
120,1.48,0.27,48.51,22.00
180,1.47,0.27,72.29,22.81
240,1.47,0.27,95.82,23.37
300,1.46,0.27,119.09,23.87
360,1.45,0.26,142.16,24.25
420,1.45,0.26,165.03,24.56
480,1.44,0.26,187.69,24.87
540,1.44,0.26,210.19,25.06
600,1.42,0.26,232.49,25.31
660,1.42,0.26,254.69,25.44
720,1.42,0.26,276.74,25.62
780,1.42,0.26,298.65,25.75
840,1.41,0.26,320.43,25.94
900,1.41,0.26,342.10,26.00
960,1.41,0.26,363.62,26.06
1020,1.40,0.25,385.04,26.19
1080,1.40,0.25,406.33,26.31
1140,1.39,0.25,427.52,26.44
1200,1.40,0.25,448.60,26.50
1260,1.39,0.25,469.59,26.56
1320,1.39,0.25,490.47,26.62
1380,1.38,0.25,511.25,26.69
1440,1.38,0.25,531.97,26.81
1500,1.38,0.25,552.57,26.81
1560,1.37,0.25,573.10,26.87
1620,1.37,0.25,593.56,26.94
1680,1.36,0.25,613.91,27.00
1740,1.37,0.25,634.21,27.06
1800,1.36,0.25,654.38,27.06
1860,1.36,0.25,674.52,27.12
1920,1.35,0.25,694.53,27.12
1980,1.35,0.25,714.51,27.25
2040,1.35,0.25,734.37,27.25
2100,1.35,0.25,754.19,27.31
2160,1.34,0.24,773.93,27.31
2220,1.34,0.24,793.62,27.31
2280,1.34,0.24,813.21,27.37
2340,1.34,0.24,832.78,27.44
2400,1.33,0.24,852.24,27.44
2460,1.33,0.24,871.68,27.44
2520,1.33,0.24,891.06,27.50
2580,1.33,0.24,910.38,27.50
2640,1.33,0.24,929.66,27.50
2700,1.32,0.24,948.90,27.56
2760,1.32,0.24,968.08,27.56
2820,1.32,0.24,987.21,27.62
2880,1.32,0.24,1006.27,27.62
2940,1.32,0.24,1025.29,27.69
3000,1.31,0.24,1044.26,27.75
3060,1.31,0.24,1063.16,27.75
3120,1.31,0.24,1082.04,27.81
3180,1.31,0.24,1100.87,27.81
3240,1.31,0.24,1119.65,27.81
3300,1.31,0.24,1138.43,27.81
3360,1.31,0.24,1157.16,27.81
3420,1.30,0.24,1175.87,27.81
3480,1.30,0.24,1194.51,27.81
3540,1.30,0.24,1213.12,27.87
3600,1.30,0.24,1231.70,27.87
3660,1.30,0.24,1250.22,27.87
3720,1.30,0.24,1268.69,27.87
3780,1.30,0.24,1287.15,27.87
3840,1.30,0.24,1305.61,27.87
3900,1.29,0.24,1324.05,27.94
3960,1.29,0.24,1342.41,27.94
4020,1.29,0.24,1360.74,27.94
4080,1.30,0.24,1379.07,27.94
4140,1.29,0.23,1397.35,27.94
4200,1.29,0.24,1415.59,27.94
4260,1.29,0.23,1433.79,27.94
