time,voltage,current,joules,temp
1,1.48,0.27,0.40,19.37
2,1.49,0.27,0.80,19.37
3,1.49,0.27,1.21,19.44
4,1.50,0.27,1.62,19.44
5,1.50,0.27,2.03,19.50
6,1.50,0.27,2.44,19.50
7,1.50,0.27,2.85,19.50
8,1.50,0.27,3.26,19.50
9,1.50,0.27,3.67,19.50
10,1.50,0.27,4.08,19.56
11,1.50,0.27,4.49,19.56
12,1.50,0.27,4.89,19.56
13,1.49,0.27,5.30,19.56
14,1.50,0.27,5.71,19.62
15,1.50,0.27,6.12,19.62
16,1.50,0.27,6.53,19.62
17,1.50,0.27,6.94,19.69
18,1.50,0.27,7.35,19.69
19,1.49,0.27,7.75,19.75
20,1.51,0.27,8.17,19.75
21,1.50,0.27,8.58,19.81
22,1.49,0.27,8.99,19.81
23,1.50,0.27,9.39,19.87
24,1.50,0.27,9.80,19.87
25,1.49,0.27,10.21,19.87
26,1.50,0.27,10.62,19.94
27,1.49,0.27,11.03,20.00
28,1.49,0.27,11.43,20.00
29,1.50,0.27,11.84,20.00
30,1.50,0.27,12.25,20.00
31,1.49,0.27,12.65,20.06
32,1.50,0.27,13.06,20.06
33,1.49,0.27,13.47,20.12
34,1.49,0.27,13.88,20.12
35,1.50,0.27,14.28,20.19
36,1.49,0.27,14.69,20.19
37,1.49,0.27,15.10,20.25
38,1.49,0.27,15.50,20.25
39,1.49,0.27,15.91,20.31
40,1.50,0.27,16.32,20.31
41,1.50,0.27,16.72,20.31
42,1.49,0.27,17.13,20.37
43,1.49,0.27,17.54,20.44
44,1.49,0.27,17.94,20.44
45,1.50,0.27,18.35,20.50
46,1.50,0.27,18.76,20.50
47,1.49,0.27,19.17,20.50
48,1.49,0.27,19.57,20.56
49,1.49,0.27,19.97,20.56
50,1.49,0.27,20.38,20.56
51,1.49,0.27,20.79,20.62
52,1.49,0.27,21.19,20.62
53,1.49,0.27,21.59,20.69
54,1.49,0.27,22.00,20.69
55,1.49,0.27,22.40,20.75
56,1.49,0.27,22.81,20.75
57,1.49,0.27,23.21,20.75
58,1.49,0.27,23.61,20.81
59,1.49,0.27,24.02,20.81
60,1.48,0.27,24.42,20.87
61,1.50,0.27,24.83,20.87
62,1.49,0.27,25.24,20.87
63,1.49,0.27,25.64,20.94
64,1.49,0.27,26.04,20.94
65,1.49,0.27,26.45,20.94
66,1.48,0.27,26.85,20.94
67,1.49,0.27,27.25,21.00
68,1.48,0.27,27.65,21.00
69,1.48,0.27,28.06,21.06
70,1.49,0.27,28.46,21.06
71,1.49,0.27,28.86,21.06
72,1.49,0.27,29.27,21.12
