time,voltage,current,joules,temp
60,1.48,0.27,24.01,24.44
120,1.46,0.27,47.67,25.44
180,1.46,0.27,71.06,26.12
240,1.45,0.26,94.20,26.62
300,1.45,0.26,117.12,27.00
360,1.44,0.26,139.83,27.37
420,1.43,0.26,162.35,27.56
480,1.43,0.26,184.69,27.81
540,1.43,0.26,206.88,28.00
600,1.42,0.26,228.92,28.19
660,1.41,0.26,250.81,28.31
720,1.41,0.26,272.56,28.44
780,1.41,0.26,294.16,28.56
840,1.40,0.25,315.64,28.62
900,1.40,0.25,336.99,28.75
960,1.39,0.25,358.23,28.75
1020,1.39,0.25,379.35,28.87
1080,1.38,0.25,400.36,28.87
1140,1.38,0.25,421.28,28.94
1200,1.38,0.25,442.08,29.00
1260,1.38,0.25,462.79,29.00
1320,1.37,0.25,483.39,29.06
1380,1.37,0.25,503.90,29.12
1440,1.37,0.25,524.32,29.12
1500,1.36,0.25,544.64,29.12
1560,1.35,0.25,564.88,29.19
1620,1.36,0.25,585.03,29.19
1680,1.35,0.25,605.09,29.19
1740,1.35,0.25,625.08,29.19
1800,1.35,0.25,644.99,29.25
1860,1.35,0.25,664.81,29.25
1920,1.34,0.24,684.55,29.25
1980,1.34,0.24,704.20,29.25
2040,1.34,0.24,723.80,29.25
2100,1.33,0.24,743.37,29.25
2160,1.33,0.24,762.88,29.25
2220,1.33,0.24,782.33,29.25
2280,1.34,0.24,801.69,29.31
2340,1.33,0.24,820.98,29.31
2400,1.32,0.24,840.22,29.31
2460,1.32,0.24,859.38,29.31
2520,1.33,0.24,878.53,29.31
2580,1.32,0.24,897.59,29.37
2640,1.32,0.24,916.60,29.31
2700,1.31,0.24,935.58,29.37
2760,1.32,0.24,954.50,29.31
2820,1.32,0.24,973.37,29.37
2880,1.31,0.24,992.21,29.37
2940,1.31,0.24,1010.98,29.37
3000,1.31,0.24,1029.72,29.37
3060,1.31,0.24,1048.45,29.37
3120,1.31,0.24,1067.12,29.37
3180,1.30,0.24,1085.73,29.37
3240,1.31,0.24,1104.33,29.37
3300,1.31,0.24,1122.91,29.37
3360,1.30,0.24,1141.40,29.37
3420,1.30,0.24,1159.88,29.37
3480,1.30,0.24,1178.32,29.37
3540,1.30,0.24,1196.73,29.37
3600,1.30,0.24,1215.07,29.37
3660,1.30,0.24,1233.41,29.37
3720,1.29,0.24,1251.73,29.37
3780,1.29,0.24,1270.04,29.37
3840,1.29,0.24,1288.28,29.31
3900,1.29,0.24,1306.50,29.31
3960,1.29,0.23,1324.67,29.31
4020,1.29,0.23,1342.86,29.31
4080,1.29,0.24,1361.01,29.31
4140,1.29,0.24,1379.11,29.31
4200,1.28,0.23,1397.16,29.25
4260,1.28,0.23,1415.21,29.31
4320,1.28,0.23,1433.18,29.31
4380,1.28,0.23,1451.13,29.31
4440,1.28,0.23,1469.03,29.31
4500,1.28,0.23,1486.94,29.25
4560,1.28,0.23,1504.81,29.25
4620,1.28,0.23,1522.63,29.25
4680,1.27,0.23,1540.42,29.25
4740,1.27,0.23,1558.19,29.25
4800,1.27,0.23,1575.95,29.25
4860,1.27,0.23,1593.66,29.25
4920,1.27,0.23,1611.32,29.25
4980,1.27,0.23,1628.97,29.19
5040,1.27,0.23,1646.61,29.19
5100,1.27,0.23,1664.22,29.19
5160,1.26,0.23,1681.76,29.25
5220,1.26,0.23,1699.31,29.19
5280,1.26,0.23,1716.82,29.19
5340,1.26,0.23,1734.32,29.19
5400,1.26,0.23,1751.80,29.19
5460,1.26,0.23,1769.21,29.19
5520,1.26,0.23,1786.60,29.19
5580,1.26,0.23,1803.98,29.12
5640,1.26,0.23,1821.34,29.12
5700,1.26,0.23,1838.70,29.12
5760,1.25,0.23,1856.02,29.12
5820,1.25,0.23,1873.27,29.12
5880,1.26,0.23,1890.52,29.12
5940,1.25,0.23,1907.74,29.06
6000,1.25,0.23,1924.93,29.12
6060,1.25,0.23,1942.05,29.06
6120,1.25,0.23,1959.18,29.06
6180,1.25,0.23,1976.27,29.06
6240,1.25,0.23,1993.37,29.06
6300,1.25,0.23,2010.44,29.06
6360,1.25,0.23,2027.46,29.06
6420,1.25,0.23,2044.43,29.06
6480,1.25,0.23,2061.41,29.00
6540,1.25,0.23,2078.37,29.00
6600,1.25,0.23,2095.33,29.00
6660,1.25,0.23,2112.22,29.00
6720,1.24,0.22,2129.07,29.00
6780,1.24,0.23,2145.91,28.94
6840,1.25,0.23,2162.75,29.00
6900,1.25,0.23,2179.55,28.94
6960,1.24,0.23,2196.29,28.94
7020,1.24,0.22,2213.01,28.94
7080,1.24,0.23,2229.72,28.94
7140,1.24,0.23,2246.42,28.94
7200,1.24,0.22,2263.10,28.94
7260,1.24,0.22,2279.73,28.87
