time,voltage,current,joules,temp
1,1.48,0.27,0.40,23.06
2,1.48,0.27,0.80,23.06
3,1.48,0.27,1.20,23.12
4,1.48,0.27,1.60,23.12
5,1.48,0.27,2.00,23.12
6,1.49,0.27,2.40,23.12
7,1.48,0.27,2.80,23.12
8,1.48,0.27,3.20,23.12
9,1.49,0.27,3.61,23.19
10,1.48,0.27,4.00,23.19
11,1.49,0.27,4.41,23.19
12,1.48,0.27,4.81,23.25
13,1.48,0.27,5.21,23.25
14,1.49,0.27,5.61,23.25
15,1.49,0.27,6.01,23.25
16,1.48,0.27,6.42,23.31
17,1.49,0.27,6.82,23.31
18,1.48,0.27,7.22,23.37
19,1.49,0.27,7.62,23.37
20,1.49,0.27,8.03,23.37
21,1.48,0.27,8.43,23.44
22,1.48,0.27,8.83,23.44
23,1.48,0.27,9.23,23.50
24,1.48,0.27,9.63,23.50
25,1.49,0.27,10.03,23.56
26,1.49,0.27,10.43,23.56
27,1.48,0.27,10.84,23.56
28,1.48,0.27,11.23,23.62
29,1.48,0.27,11.63,23.69
30,1.49,0.27,12.04,23.69
31,1.49,0.27,12.44,23.69
32,1.48,0.27,12.84,23.69
33,1.48,0.27,13.24,23.75
34,1.48,0.27,13.64,23.81
35,1.49,0.27,14.04,23.81
36,1.48,0.27,14.44,23.81
37,1.48,0.27,14.84,23.87
38,1.48,0.27,15.24,23.87
39,1.48,0.27,15.64,23.87
40,1.48,0.27,16.04,23.94
41,1.49,0.27,16.44,23.94
42,1.48,0.27,16.84,24.00
43,1.48,0.27,17.24,24.00
44,1.48,0.27,17.64,24.06
45,1.48,0.27,18.04,24.06
46,1.48,0.27,18.44,24.06
47,1.48,0.27,18.84,24.12
48,1.48,0.27,19.23,24.12
49,1.48,0.27,19.63,24.19
50,1.48,0.27,20.03,24.12
51,1.48,0.27,20.43,24.25
52,1.48,0.27,20.83,24.25
53,1.48,0.27,21.23,24.25
54,1.48,0.27,21.63,24.31
55,1.48,0.27,22.02,24.31
56,1.48,0.27,22.42,24.31
57,1.48,0.27,22.82,24.37
58,1.48,0.27,23.22,24.37
59,1.47,0.27,23.61,24.37
60,1.48,0.27,24.01,24.44
61,1.48,0.27,24.41,24.44
62,1.47,0.27,24.81,24.44
63,1.48,0.27,25.20,24.50
64,1.47,0.27,25.60,24.50
65,1.47,0.27,26.00,24.50
66,1.48,0.27,26.39,24.56
67,1.47,0.27,26.79,24.56
68,1.47,0.27,27.18,24.56
69,1.47,0.27,27.58,24.62
70,1.47,0.27,27.97,24.62
71,1.48,0.27,28.37,24.62
72,1.48,0.27,28.77,24.69
73,1.47,0.27,29.16,24.69
74,1.47,0.27,29.56,24.69
75,1.47,0.27,29.95,24.75
76,1.48,0.27,30.35,24.69
77,1.48,0.27,30.74,24.75
78,1.47,0.27,31.14,24.81
79,1.47,0.27,31.53,24.75
80,1.47,0.27,31.93,24.81
81,1.47,0.27,32.32,24.81
82,1.48,0.27,32.72,24.87
83,1.47,0.27,33.11,24.87
84,1.47,0.27,33.51,24.87
85,1.48,0.27,33.91,24.87
86,1.47,0.27,34.30,24.94
87,1.47,0.27,34.69,24.94
88,1.48,0.27,35.09,24.94
89,1.47,0.27,35.49,25.00
90,1.47,0.27,35.88,25.00
91,1.47,0.27,36.27,25.00
92,1.47,0.27,36.67,25.00
93,1.47,0.27,37.06,25.06
94,1.47,0.27,37.45,25.06
95,1.47,0.27,37.85,25.06
96,1.47,0.27,38.24,25.06
97,1.47,0.27,38.64,25.12
98,1.47,0.27,39.03,25.12
99,1.47,0.27,39.42,25.12
100,1.47,0.27,39.81,25.12
101,1.47,0.27,40.21,25.12
102,1.47,0.27,40.61,25.19
103,1.47,0.27,41.00,25.19
104,1.47,0.27,41.39,25.19
105,1.47,0.27,41.78,25.25
106,1.47,0.27,42.18,25.25
107,1.47,0.27,42.57,25.25
108,1.47,0.27,42.96,25.25
109,1.47,0.27,43.36,25.31
110,1.46,0.27,43.75,25.31
111,1.47,0.27,44.14,25.31
112,1.47,0.27,44.53,25.31
113,1.47,0.27,44.93,25.31
114,1.46,0.27,45.32,25.31
115,1.47,0.27,45.71,25.37
116,1.46,0.27,46.10,25.37
117,1.48,0.27,46.50,25.37
118,1.47,0.27,46.89,25.44
119,1.46,0.27,47.28,25.44
120,1.46,0.27,47.67,25.44
121,1.47,0.27,48.06,25.44
122,1.46,0.27,48.45,25.44
123,1.47,0.27,48.85,25.50
124,1.46,0.27,49.24,25.50
