time,voltage,current,joules,temp
60,1.49,0.27,24.56,25.81
120,1.48,0.27,48.68,26.81
180,1.48,0.27,72.50,27.44
240,1.47,0.27,96.05,27.87
300,1.46,0.26,119.36,28.19
360,1.46,0.27,142.44,28.37
420,1.45,0.26,165.34,28.62
480,1.44,0.26,188.05,28.75
540,1.43,0.26,210.58,28.87
600,1.43,0.26,232.93,29.00
660,1.43,0.26,255.13,29.06
720,1.42,0.26,277.20,29.19
780,1.42,0.26,299.12,29.25
840,1.41,0.26,320.90,29.31
900,1.42,0.26,342.58,29.37
960,1.41,0.26,364.13,29.44
1020,1.40,0.25,385.58,29.50
1080,1.40,0.25,406.92,29.56
1140,1.39,0.25,428.16,29.56
1200,1.40,0.25,449.34,29.56
1260,1.39,0.25,470.41,29.62
1320,1.39,0.25,491.40,29.62
1380,1.38,0.25,512.30,29.69
1440,1.39,0.25,533.09,29.69
1500,1.37,0.25,553.81,29.69
1560,1.37,0.25,574.42,29.75
1620,1.37,0.25,594.95,29.75
1680,1.37,0.25,615.41,29.75
1740,1.36,0.25,635.80,29.75
1800,1.36,0.25,656.13,29.75
1860,1.36,0.25,676.41,29.75
1920,1.36,0.25,696.59,29.75
1980,1.35,0.25,716.74,29.75
2040,1.35,0.25,736.81,29.75
2100,1.35,0.25,756.83,29.75
2160,1.35,0.25,776.83,29.75
2220,1.35,0.25,796.73,29.75
2280,1.35,0.25,816.61,29.75
2340,1.34,0.24,836.44,29.69
2400,1.34,0.24,856.19,29.69
2460,1.34,0.24,875.90,29.69
2520,1.34,0.24,895.59,29.69
2580,1.34,0.24,915.22,29.69
2640,1.34,0.24,934.82,29.69
2700,1.34,0.24,954.38,29.62
2760,1.33,0.24,973.88,29.62
2820,1.33,0.24,993.34,29.62
2880,1.33,0.24,1012.79,29.62
2940,1.33,0.24,1032.22,29.62
3000,1.33,0.24,1051.63,29.62
3060,1.33,0.24,1070.98,29.62
3120,1.33,0.24,1090.30,29.62
3180,1.34,0.24,1109.61,29.62
3240,1.33,0.24,1128.89,29.62
3300,1.32,0.24,1148.10,29.62
3360,1.32,0.24,1167.29,29.62
3420,1.33,0.24,1186.45,29.62
3480,1.33,0.24,1205.59,29.62
3540,1.32,0.24,1224.65,29.62
3600,1.32,0.24,1243.68,29.56
3660,1.32,0.24,1262.71,29.56
3720,1.32,0.24,1281.70,29.50
3780,1.32,0.24,1300.65,29.56
3840,1.31,0.24,1319.56,29.56
3900,1.32,0.24,1338.48,29.56
3960,1.32,0.24,1357.35,29.56
4020,1.32,0.24,1376.22,29.50
4080,1.31,0.24,1395.01,29.50
4140,1.31,0.24,1413.79,29.50
4200,1.31,0.24,1432.53,29.50
4260,1.31,0.24,1451.27,29.50
4320,1.31,0.24,1469.93,29.50
4380,1.30,0.24,1488.57,29.44
4440,1.31,0.24,1507.19,29.44
4500,1.31,0.24,1525.79,29.44
4560,1.31,0.24,1544.36,29.37
4620,1.30,0.24,1562.90,29.37
4680,1.30,0.24,1581.38,29.37
4740,1.30,0.24,1599.86,29.37
4800,1.30,0.24,1618.33,29.31
4860,1.30,0.24,1636.79,29.31
4920,1.30,0.24,1655.21,29.31
4980,1.30,0.24,1673.59,29.25
5040,1.30,0.24,1691.93,29.25
5100,1.29,0.24,1710.25,29.25
5160,1.29,0.23,1728.55,29.25
5220,1.29,0.24,1746.78,29.19
5280,1.29,0.24,1764.99,29.19
5340,1.29,0.23,1783.18,29.19
5400,1.29,0.23,1801.36,29.19
5460,1.29,0.23,1819.52,29.19
5520,1.29,0.24,1837.59,29.19
5580,1.28,0.23,1855.67,29.19
5640,1.28,0.23,1873.71,29.12
5700,1.28,0.23,1891.74,29.19
5760,1.28,0.23,1909.78,29.12
5820,1.28,0.23,1927.72,29.12
5880,1.28,0.23,1945.64,29.12
5940,1.28,0.23,1963.57,29.12
6000,1.28,0.23,1981.47,29.12
6060,1.27,0.23,1999.35,29.12
6120,1.27,0.23,2017.18,29.12
6180,1.27,0.23,2034.98,29.06
6240,1.27,0.23,2052.76,29.06
6300,1.28,0.23,2070.53,29.06
6360,1.27,0.23,2088.31,29.06
6420,1.27,0.23,2106.02,29.06
6480,1.27,0.23,2123.69,29.00
6540,1.27,0.23,2141.33,29.00
6600,1.27,0.23,2158.98,29.00
6660,1.27,0.23,2176.61,29.00
