time,voltage,current,joules,temp
1,1.51,0.28,0.42,24.56
2,1.52,0.28,0.84,24.62
3,1.51,0.28,1.25,24.62
4,1.51,0.27,1.67,24.56
5,1.51,0.28,2.08,24.62
6,1.51,0.27,2.50,24.69
7,1.51,0.27,2.91,24.69
8,1.51,0.27,3.32,24.69
9,1.50,0.27,3.74,24.69
10,1.50,0.27,4.15,24.69
11,1.51,0.27,4.56,24.69
12,1.50,0.27,4.97,24.75
13,1.50,0.27,5.38,24.75
14,1.50,0.27,5.79,24.75
15,1.50,0.27,6.20,24.81
16,1.51,0.27,6.62,24.81
17,1.51,0.27,7.03,24.87
18,1.50,0.27,7.44,24.87
19,1.50,0.27,7.85,24.87
20,1.50,0.27,8.26,24.94
21,1.50,0.27,8.67,24.94
22,1.50,0.27,9.08,24.94
23,1.50,0.27,9.49,24.94
24,1.50,0.27,9.90,25.00
25,1.50,0.27,10.31,25.06
26,1.50,0.27,10.72,25.06
27,1.50,0.27,11.13,25.06
28,1.50,0.27,11.54,25.12
29,1.50,0.27,11.95,25.12
30,1.49,0.27,12.35,25.19
31,1.50,0.27,12.76,25.19
32,1.50,0.27,13.17,25.25
33,1.50,0.27,13.58,25.25
34,1.49,0.27,13.99,25.25
35,1.50,0.27,14.40,25.31
36,1.49,0.27,14.80,25.31
37,1.50,0.27,15.22,25.37
38,1.50,0.27,15.63,25.37
39,1.49,0.27,16.03,25.37
40,1.49,0.27,16.44,25.44
41,1.50,0.27,16.85,25.44
42,1.49,0.27,17.25,25.50
43,1.50,0.27,17.66,25.50
44,1.50,0.27,18.07,25.50
45,1.49,0.27,18.48,25.50
46,1.50,0.27,18.88,25.56
47,1.50,0.27,19.29,25.56
48,1.49,0.27,19.70,25.62
49,1.50,0.27,20.11,25.62
50,1.49,0.27,20.51,25.62
51,1.49,0.27,20.92,25.69
52,1.50,0.27,21.33,25.69
53,1.49,0.27,21.73,25.69
54,1.49,0.27,22.14,25.75
55,1.49,0.27,22.54,25.75
56,1.49,0.27,22.94,25.81
57,1.49,0.27,23.35,25.81
58,1.49,0.27,23.76,25.81
59,1.49,0.27,24.16,25.87
60,1.49,0.27,24.56,25.81
61,1.49,0.27,24.97,25.87
62,1.49,0.27,25.37,25.94
63,1.49,0.27,25.78,25.94
64,1.49,0.27,26.18,25.94
65,1.49,0.27,26.59,25.94
66,1.49,0.27,26.99,26.00
67,1.49,0.27,27.39,26.00
68,1.49,0.27,27.80,26.00
69,1.49,0.27,28.20,26.06
70,1.49,0.27,28.61,26.06
71,1.48,0.27,29.01,26.06
72,1.49,0.27,29.41,26.06
73,1.49,0.27,29.81,26.12
74,1.49,0.27,30.22,26.12
75,1.49,0.27,30.62,26.19
76,1.48,0.27,31.02,26.19
77,1.48,0.27,31.43,26.19
78,1.49,0.27,31.83,26.25
79,1.49,0.27,32.24,26.25
80,1.48,0.27,32.64,26.25
81,1.49,0.27,33.04,26.25
82,1.49,0.27,33.44,26.31
83,1.48,0.27,33.84,26.31
84,1.49,0.27,34.25,26.31
85,1.48,0.27,34.65,26.31
86,1.48,0.27,35.05,26.31
87,1.49,0.27,35.46,26.37
88,1.49,0.27,35.86,26.37
89,1.48,0.27,36.26,26.37
90,1.49,0.27,36.66,26.37
91,1.48,0.27,37.07,26.44
92,1.48,0.27,37.47,26.44
93,1.49,0.27,37.87,26.44
94,1.48,0.27,38.27,26.44
95,1.48,0.27,38.67,26.50
96,1.48,0.27,39.07,26.50
97,1.48,0.27,39.47,26.50
98,1.49,0.27,39.88,26.56
99,1.49,0.27,40.28,26.50
100,1.48,0.27,40.68,26.56
101,1.48,0.27,41.08,26.56
102,1.48,0.27,41.48,26.56
103,1.49,0.27,41.88,26.62
104,1.49,0.27,42.29,26.62
105,1.48,0.27,42.69,26.56
106,1.48,0.27,43.09,26.62
107,1.48,0.27,43.49,26.62
108,1.48,0.27,43.88,26.69
109,1.49,0.27,44.29,26.69
110,1.48,0.27,44.69,26.69
111,1.48,0.27,45.08,26.69
112,1.48,0.27,45.48,26.69
113,1.48,0.27,45.88,26.75
114,1.48,0.27,46.28,26.69
115,1.48,0.27,46.68,26.75
116,1.48,0.27,47.08,26.75
117,1.48,0.27,47.48,26.81
118,1.47,0.27,47.87,26.81
119,1.49,0.27,48.28,26.81
120,1.48,0.27,48.68,26.81
121,1.48,0.27,49.08,26.81
122,1.48,0.27,49.47,26.87
123,1.48,0.27,49.87,26.87
124,1.47,0.27,50.27,26.87
125,1.49,0.27,50.67,26.87
126,1.48,0.27,51.07,26.94
127,1.48,0.27,51.47,26.94
128,1.48,0.27,51.87,26.94
129,1.48,0.27,52.27,26.94
130,1.48,0.27,52.67,26.94
131,1.48,0.27,53.07,26.94
132,1.48,0.27,53.46,26.94
133,1.48,0.27,53.86,27.00
134,1.48,0.27,54.27,27.00
135,1.47,0.27,54.66,27.00
136,1.48,0.27,55.06,27.00
137,1.47,0.27,55.45,27.00
138,1.47,0.27,55.85,27.00
139,1.48,0.27,56.25,27.00
140,1.48,0.27,56.65,27.06
141,1.47,0.27,57.04,27.06
142,1.47,0.27,57.44,27.06
143,1.47,0.27,57.83,27.06
144,1.48,0.27,58.23,27.06
145,1.48,0.27,58.63,27.12
146,1.47,0.27,59.03,27.12
147,1.47,0.27,59.42,27.12
148,1.47,0.27,59.82,27.12
149,1.48,0.27,60.21,27.12
150,1.48,0.27,60.61,27.19
151,1.47,0.27,61.01,27.19
152,1.47,0.27,61.40,27.19
153,1.47,0.27,61.80,27.19
154,1.47,0.27,62.19,27.25
155,1.48,0.27,62.59,27.19
156,1.48,0.27,62.99,27.19
157,1.47,0.27,63.39,27.25
158,1.48,0.27,63.78,27.25
159,1.47,0.27,64.18,27.25
160,1.48,0.27,64.58,27.25
161,1.48,0.27,64.97,27.25
162,1.47,0.27,65.37,27.25
163,1.47,0.27,65.77,27.25
164,1.48,0.27,66.16,27.31
165,1.47,0.27,66.56,27.31
166,1.48,0.27,66.96,27.31
167,1.47,0.27,67.35,27.31
168,1.47,0.27,67.75,27.31
169,1.48,0.27,68.15,27.37
170,1.48,0.27,68.55,27.31
171,1.47,0.27,68.94,27.37
172,1.48,0.27,69.34,27.37
173,1.47,0.27,69.73,27.31
174,1.47,0.27,70.13,27.37
175,1.48,0.27,70.53,27.37
176,1.47,0.27,70.92,27.37
177,1.47,0.27,71.31,27.37
178,1.47,0.27,71.71,27.44
179,1.47,0.27,72.10,27.44
180,1.48,0.27,72.50,27.44
181,1.47,0.27,72.89,27.44
182,1.47,0.27,73.28,27.44
183,1.47,0.27,73.68,27.44
184,1.47,0.27,74.07,27.44
185,1.47,0.27,74.47,27.44
186,1.47,0.27,74.86,27.50
187,1.47,0.27,75.25,27.50
188,1.47,0.27,75.65,27.50
189,1.47,0.27,76.04,27.50
190,1.47,0.27,76.44,27.50
191,1.47,0.27,76.83,27.50
192,1.47,0.27,77.23,27.50
193,1.47,0.27,77.62,27.50
194,1.47,0.27,78.01,27.56
195,1.47,0.27,78.40,27.56
196,1.47,0.27,78.80,27.56
197,1.47,0.27,79.19,27.56
198,1.47,0.27,79.58,27.56
199,1.47,0.27,79.98,27.56
200,1.46,0.27,80.37,27.56
201,1.47,0.27,80.76,27.62
202,1.47,0.27,81.16,27.62
203,1.47,0.27,81.55,27.62
204,1.47,0.27,81.94,27.62
205,1.47,0.27,82.34,27.62
206,1.47,0.27,82.73,27.62
207,1.47,0.27,83.12,27.62
208,1.46,0.27,83.51,27.62
209,1.47,0.27,83.91,27.62
210,1.47,0.27,84.30,27.69
211,1.47,0.27,84.70,27.69
212,1.46,0.27,85.09,27.69
213,1.47,0.27,85.48,27.69
214,1.46,0.27,85.87,27.69
215,1.47,0.27,86.27,27.75
216,1.47,0.27,86.66,27.69
217,1.46,0.27,87.05,27.69
218,1.47,0.27,87.44,27.69
219,1.46,0.27,87.83,27.75
220,1.46,0.27,88.22,27.75
221,1.47,0.27,88.62,27.75
222,1.46,0.27,89.01,27.75
223,1.46,0.27,89.40,27.75
224,1.46,0.27,89.79,27.75
225,1.47,0.27,90.18,27.75
226,1.47,0.27,90.57,27.75
227,1.47,0.27,90.97,27.75
228,1.46,0.27,91.36,27.81
229,1.47,0.27,91.75,27.81
230,1.46,0.27,92.14,27.81
231,1.47,0.27,92.53,27.81
232,1.47,0.27,92.92,27.81
233,1.46,0.27,93.31,27.81
234,1.46,0.27,93.70,27.87
235,1.46,0.27,94.10,27.81
236,1.46,0.27,94.49,27.87
237,1.47,0.27,94.88,27.81
238,1.46,0.27,95.27,27.87
239,1.46,0.27,95.66,27.87
240,1.47,0.27,96.05,27.87
241,1.46,0.27,96.44,27.87
242,1.46,0.27,96.83,27.87
243,1.47,0.27,97.22,27.87
244,1.46,0.27,97.61,27.87
245,1.47,0.27,98.00,27.87
246,1.47,0.27,98.39,27.87
247,1.46,0.27,98.78,27.87
248,1.46,0.27,99.17,27.94
249,1.46,0.27,99.56,27.94
250,1.46,0.27,99.95,27.94
251,1.47,0.27,100.35,27.94
252,1.47,0.27,100.74,27.94
253,1.46,0.27,101.13,27.94
254,1.46,0.27,101.51,27.94
255,1.46,0.27,101.90,27.94
256,1.46,0.27,102.29,27.94
257,1.46,0.27,102.68,27.94
258,1.46,0.27,103.07,27.94
259,1.46,0.27,103.46,28.00
260,1.46,0.27,103.85,27.94
261,1.47,0.27,104.24,28.00
262,1.47,0.27,104.63,27.94
263,1.46,0.27,105.02,28.00
264,1.46,0.27,105.41,28.00
265,1.46,0.27,105.79,28.00
266,1.46,0.27,106.18,28.00
267,1.46,0.27,106.57,28.00
268,1.46,0.27,106.96,28.00
269,1.46,0.27,107.35,28.00
270,1.46,0.27,107.74,28.06
271,1.46,0.27,108.12,28.06
272,1.46,0.27,108.51,28.00
273,1.46,0.27,108.90,28.06
274,1.46,0.27,109.29,28.06
275,1.46,0.27,109.68,28.06
276,1.46,0.27,110.07,28.06
277,1.46,0.27,110.46,28.06
278,1.46,0.27,110.85,28.06
279,1.46,0.27,111.24,28.06
280,1.46,0.26,111.62,28.06
281,1.46,0.27,112.01,28.12
282,1.46,0.26,112.40,28.06
283,1.46,0.27,112.78,28.12
284,1.46,0.27,113.17,28.12
285,1.46,0.26,113.56,28.12
286,1.46,0.27,113.95,28.12
287,1.46,0.27,114.34,28.12
288,1.46,0.26,114.72,28.12
289,1.46,0.27,115.11,28.12
290,1.46,0.26,115.50,28.12
291,1.46,0.27,115.88,28.12
292,1.46,0.27,116.27,28.12
293,1.46,0.26,116.66,28.19
294,1.46,0.26,117.04,28.19
295,1.46,0.26,117.43,28.12
296,1.46,0.26,117.81,28.19
297,1.46,0.27,118.20,28.12
298,1.46,0.27,118.59,28.19
299,1.46,0.26,118.97,28.19
300,1.46,0.26,119.36,28.19
301,1.46,0.26,119.74,28.19
302,1.46,0.27,120.13,28.19
303,1.46,0.27,120.52,28.19
304,1.46,0.27,120.90,28.19
305,1.46,0.26,121.29,28.19
306,1.46,0.26,121.67,28.19
307,1.46,0.26,122.06,28.19
308,1.46,0.27,122.45,28.19
309,1.46,0.26,122.83,28.19
310,1.46,0.26,123.22,28.19
311,1.46,0.27,123.60,28.19
312,1.46,0.26,123.99,28.19
313,1.46,0.27,124.38,28.25
314,1.46,0.27,124.77,28.25
315,1.46,0.26,125.15,28.19
316,1.46,0.26,125.54,28.25
317,1.46,0.26,125.92,28.25
318,1.46,0.26,126.31,28.25
319,1.46,0.27,126.69,28.25
320,1.46,0.26,127.08,28.25
321,1.46,0.26,127.46,28.25
322,1.46,0.27,127.85,28.25
323,1.46,0.26,128.24,28.31
324,1.46,0.26,128.62,28.25
325,1.46,0.26,129.01,28.25
326,1.45,0.26,129.39,28.31
327,1.46,0.27,129.78,28.31
328,1.46,0.27,130.16,28.31
329,1.45,0.26,130.55,28.31
330,1.46,0.26,130.93,28.25
331,1.45,0.26,131.31,28.31
332,1.45,0.26,131.69,28.31
333,1.46,0.27,132.08,28.31
334,1.45,0.26,132.46,28.31
335,1.45,0.26,132.85,28.31
336,1.45,0.26,133.23,28.31
337,1.45,0.26,133.61,28.31
338,1.46,0.26,134.00,28.37
339,1.46,0.26,134.38,28.31
340,1.45,0.26,134.76,28.31
341,1.45,0.26,135.14,28.37
342,1.45,0.26,135.53,28.31
343,1.46,0.26,135.91,28.37
344,1.46,0.27,136.30,28.37
345,1.45,0.26,136.68,28.37
346,1.45,0.26,137.06,28.37
347,1.45,0.26,137.44,28.37
348,1.45,0.26,137.83,28.37
349,1.46,0.26,138.21,28.37
350,1.45,0.26,138.59,28.37
351,1.45,0.26,138.98,28.37
352,1.46,0.26,139.36,28.37
353,1.45,0.26,139.74,28.37
354,1.46,0.27,140.13,28.37
355,1.46,0.26,140.52,28.37
356,1.45,0.26,140.90,28.44
357,1.46,0.26,141.28,28.44
358,1.46,0.26,141.67,28.44
359,1.45,0.26,142.05,28.44
360,1.46,0.27,142.44,28.37
361,1.45,0.26,142.82,28.44
362,1.45,0.26,143.20,28.44
363,1.46,0.26,143.59,28.44
364,1.46,0.26,143.97,28.44
365,1.45,0.26,144.35,28.44
366,1.45,0.26,144.74,28.44
367,1.45,0.26,145.12,28.44
368,1.46,0.26,145.50,28.44
369,1.46,0.26,145.89,28.44
370,1.45,0.26,146.27,28.44
371,1.45,0.26,146.65,28.44
372,1.45,0.26,147.04,28.44
373,1.46,0.26,147.42,28.50
374,1.46,0.26,147.81,28.50
375,1.45,0.26,148.19,28.50
376,1.45,0.26,148.57,28.50
377,1.45,0.26,148.95,28.50
378,1.45,0.26,149.33,28.50
379,1.46,0.26,149.71,28.50
380,1.46,0.26,150.10,28.50
381,1.45,0.26,150.48,28.50
382,1.45,0.26,150.85,28.50
383,1.45,0.26,151.23,28.50
384,1.46,0.26,151.62,28.50
385,1.45,0.26,152.00,28.50
386,1.45,0.26,152.38,28.50
387,1.45,0.26,152.76,28.50
388,1.45,0.26,153.14,28.50
389,1.46,0.26,153.53,28.50
390,1.45,0.26,153.91,28.50
391,1.45,0.26,154.29,28.50
392,1.45,0.26,154.67,28.50
393,1.46,0.26,155.06,28.56
394,1.45,0.26,155.44,28.56
395,1.46,0.26,155.82,28.50
396,1.45,0.26,156.20,28.50
397,1.45,0.26,156.58,28.56
398,1.45,0.26,156.97,28.56
399,1.45,0.26,157.35,28.50
400,1.45,0.26,157.73,28.56
401,1.46,0.26,158.11,28.56
402,1.45,0.26,158.49,28.56
403,1.45,0.26,158.87,28.56
404,1.45,0.26,159.26,28.56
405,1.45,0.26,159.64,28.56
406,1.45,0.26,160.02,28.56
407,1.45,0.26,160.40,28.56
408,1.45,0.26,160.78,28.56
409,1.45,0.26,161.16,28.56
410,1.45,0.26,161.54,28.56
411,1.45,0.26,161.92,28.56
412,1.45,0.26,162.30,28.56
413,1.45,0.26,162.68,28.56
414,1.45,0.26,163.06,28.62
415,1.45,0.26,163.44,28.62
416,1.45,0.26,163.82,28.56
417,1.45,0.26,164.20,28.62
418,1.44,0.26,164.58,28.62
419,1.45,0.26,164.96,28.62
420,1.45,0.26,165.34,28.62
421,1.45,0.26,165.72,28.62
422,1.45,0.26,166.10,28.62
423,1.44,0.26,166.48,28.62
424,1.44,0.26,166.86,28.62
425,1.45,0.26,167.24,28.62
426,1.45,0.26,167.62,28.62
427,1.44,0.26,168.00,28.62
428,1.44,0.26,168.37,28.62
429,1.44,0.26,168.75,28.62
430,1.45,0.26,169.13,28.62
431,1.45,0.26,169.51,28.62
432,1.45,0.26,169.89,28.62
433,1.44,0.26,170.27,28.62
434,1.45,0.26,170.65,28.62
435,1.44,0.26,171.03,28.69
436,1.45,0.26,171.41,28.62
437,1.44,0.26,171.79,28.62
438,1.44,0.26,172.17,28.62
439,1.45,0.26,172.55,28.69
440,1.45,0.26,172.93,28.69
441,1.45,0.26,173.31,28.62
442,1.45,0.26,173.69,28.69
443,1.44,0.26,174.07,28.69
444,1.44,0.26,174.44,28.69
445,1.45,0.26,174.82,28.69
446,1.44,0.26,175.20,28.69
447,1.44,0.26,175.58,28.69
448,1.44,0.26,175.96,28.69
449,1.44,0.26,176.33,28.69
450,1.45,0.26,176.71,28.69
451,1.45,0.26,177.09,28.69
452,1.44,0.26,177.47,28.69
453,1.44,0.26,177.85,28.69
454,1.44,0.26,178.23,28.69
455,1.45,0.26,178.61,28.69
456,1.45,0.26,178.99,28.69
457,1.44,0.26,179.36,28.69
458,1.44,0.26,179.74,28.69
459,1.44,0.26,180.12,28.69
460,1.44,0.26,180.50,28.69
461,1.45,0.26,180.88,28.75
462,1.44,0.26,181.25,28.75
463,1.44,0.26,181.63,28.75
464,1.44,0.26,182.01,28.75
465,1.44,0.26,182.38,28.75
466,1.45,0.26,182.76,28.75
467,1.45,0.26,183.14,28.75
468,1.44,0.26,183.52,28.75
469,1.45,0.26,183.90,28.75
470,1.44,0.26,184.28,28.75
471,1.44,0.26,184.65,28.75
472,1.45,0.26,185.03,28.75
473,1.44,0.26,185.41,28.75
474,1.44,0.26,185.78,28.75
475,1.45,0.26,186.16,28.75
476,1.44,0.26,186.54,28.75
477,1.45,0.26,186.92,28.75
478,1.44,0.26,187.29,28.75
479,1.44,0.26,187.67,28.75
480,1.44,0.26,188.05,28.75
481,1.44,0.26,188.42,28.75
482,1.44,0.26,188.80,28.75
483,1.45,0.26,189.18,28.75
484,1.44,0.26,189.55,28.75
485,1.44,0.26,189.93,28.81
486,1.44,0.26,190.31,28.81
487,1.44,0.26,190.68,28.81
488,1.44,0.26,191.06,28.75
489,1.44,0.26,191.43,28.81
490,1.44,0.26,191.81,28.75
491,1.44,0.26,192.18,28.81
492,1.44,0.26,192.56,28.81
493,1.44,0.26,192.94,28.81
494,1.44,0.26,193.31,28.81
495,1.44,0.26,193.69,28.81
496,1.44,0.26,194.07,28.81
497,1.44,0.26,194.45,28.81
498,1.44,0.26,194.82,28.81
499,1.44,0.26,195.20,28.81
500,1.44,0.26,195.57,28.81
501,1.44,0.26,195.95,28.81
502,1.44,0.26,196.32,28.81
503,1.44,0.26,196.70,28.81
504,1.44,0.26,197.07,28.81
505,1.44,0.26,197.45,28.81
506,1.44,0.26,197.83,28.81
507,1.44,0.26,198.20,28.81
508,1.44,0.26,198.58,28.87
509,1.44,0.26,198.95,28.81
510,1.44,0.26,199.33,28.81
511,1.43,0.26,199.70,28.81
512,1.44,0.26,200.08,28.81
513,1.44,0.26,200.46,28.87
514,1.44,0.26,200.83,28.81
515,1.44,0.26,201.21,28.81
516,1.44,0.26,201.58,28.81
517,1.44,0.26,201.96,28.87
518,1.44,0.26,202.33,28.87
519,1.44,0.26,202.71,28.87
520,1.44,0.26,203.08,28.81
521,1.44,0.26,203.46,28.87
522,1.44,0.26,203.84,28.87
523,1.44,0.26,204.21,28.81
524,1.45,0.26,204.59,28.87
525,1.44,0.26,204.97,28.87
526,1.44,0.26,205.34,28.87
527,1.44,0.26,205.72,28.87
528,1.44,0.26,206.09,28.87
529,1.44,0.26,206.47,28.87
530,1.44,0.26,206.84,28.87
531,1.43,0.26,207.22,28.87
532,1.44,0.26,207.59,28.87
533,1.43,0.26,207.96,28.87
534,1.43,0.26,208.33,28.87
535,1.43,0.26,208.71,28.87
536,1.44,0.26,209.08,28.87
537,1.44,0.26,209.46,28.94
538,1.44,0.26,209.83,28.87
539,1.44,0.26,210.21,28.87
540,1.43,0.26,210.58,28.87
541,1.43,0.26,210.95,28.87
542,1.44,0.26,211.33,28.94
543,1.44,0.26,211.70,28.94
544,1.44,0.26,212.08,28.87
545,1.43,0.26,212.45,28.87
546,1.44,0.26,212.83,28.94
547,1.43,0.26,213.20,28.94
548,1.44,0.26,213.57,28.94
549,1.43,0.26,213.95,28.87
550,1.43,0.26,214.32,28.94
551,1.44,0.26,214.69,28.87
552,1.43,0.26,215.06,28.94
553,1.43,0.26,215.44,28.94
554,1.44,0.26,215.81,28.94
555,1.43,0.26,216.18,28.94
556,1.43,0.26,216.56,28.94
557,1.44,0.26,216.93,28.94
558,1.43,0.26,217.30,28.94
559,1.43,0.26,217.67,28.94
560,1.43,0.26,218.05,28.94
561,1.43,0.26,218.42,28.94
562,1.44,0.26,218.79,28.94
563,1.44,0.26,219.17,28.94
564,1.43,0.26,219.54,28.94
565,1.43,0.26,219.91,28.94
566,1.43,0.26,220.28,28.94
567,1.44,0.26,220.66,28.94
568,1.44,0.26,221.03,28.94
569,1.43,0.26,221.41,28.94
570,1.43,0.26,221.78,28.94
571,1.43,0.26,222.15,28.94
572,1.43,0.26,222.52,28.94
573,1.44,0.26,222.90,28.94
574,1.43,0.26,223.27,28.94
575,1.43,0.26,223.64,28.94
576,1.43,0.26,224.01,28.94
577,1.43,0.26,224.38,28.94
578,1.44,0.26,224.76,28.94
579,1.44,0.26,225.13,28.94
580,1.43,0.26,225.50,29.00
581,1.43,0.26,225.87,28.94
582,1.43,0.26,226.24,29.00
583,1.44,0.26,226.62,28.94
584,1.44,0.26,226.99,28.94
585,1.43,0.26,227.36,28.94
586,1.43,0.26,227.73,29.00
587,1.43,0.26,228.10,28.94
588,1.43,0.26,228.47,29.00
589,1.44,0.26,228.85,29.00
590,1.43,0.26,229.22,29.00
591,1.43,0.26,229.59,29.00
592,1.43,0.26,229.96,29.00
593,1.43,0.26,230.33,29.00
594,1.43,0.26,230.70,29.00
595,1.43,0.26,231.08,29.00
596,1.43,0.26,231.45,29.00
597,1.43,0.26,231.82,29.00
598,1.43,0.26,232.19,29.00
599,1.43,0.26,232.56,29.00
600,1.43,0.26,232.93,29.00
601,1.43,0.26,233.30,28.94
602,1.43,0.26,233.67,29.00
603,1.43,0.26,234.04,29.00
604,1.44,0.26,234.42,29.00
605,1.43,0.26,234.79,29.00
606,1.43,0.26,235.16,29.00
607,1.43,0.26,235.53,29.00
608,1.43,0.26,235.90,29.00
609,1.43,0.26,236.27,29.00
610,1.43,0.26,236.64,29.06
611,1.43,0.26,237.01,29.00
612,1.43,0.26,237.38,29.00
613,1.43,0.26,237.75,29.00
614,1.43,0.26,238.12,29.06
615,1.43,0.26,238.49,29.06
616,1.43,0.26,238.86,29.00
617,1.42,0.26,239.23,29.00
618,1.43,0.26,239.60,29.00
619,1.43,0.26,239.97,29.00
620,1.43,0.26,240.34,29.06
621,1.43,0.26,240.71,29.06
622,1.43,0.26,241.09,29.00
623,1.43,0.26,241.46,29.06
624,1.43,0.26,241.83,29.06
625,1.43,0.26,242.20,29.06
626,1.43,0.26,242.57,29.06
627,1.43,0.26,242.94,29.06
628,1.43,0.26,243.31,29.06
629,1.43,0.26,243.68,29.06
630,1.44,0.26,244.06,29.06
631,1.43,0.26,244.43,29.06
632,1.42,0.26,244.79,29.06
633,1.43,0.26,245.17,29.06
634,1.43,0.26,245.53,29.06
635,1.43,0.26,245.90,29.06
636,1.43,0.26,246.28,29.06
637,1.42,0.26,246.64,29.06
638,1.43,0.26,247.02,29.06
639,1.43,0.26,247.39,29.06
640,1.43,0.26,247.76,29.06
