time,voltage,current,joules,temp
60,1.49,0.27,24.63,25.75
120,1.49,0.27,48.79,26.69
180,1.47,0.27,72.63,27.31
240,1.46,0.27,96.18,27.75
300,1.46,0.26,119.51,28.06
360,1.45,0.26,142.62,28.31
420,1.44,0.26,165.54,28.50
480,1.44,0.26,188.25,28.62
540,1.43,0.26,210.81,28.75
600,1.43,0.26,233.20,28.87
660,1.42,0.26,255.43,29.00
720,1.42,0.26,277.51,29.06
780,1.42,0.26,299.47,29.12
840,1.41,0.26,321.28,29.19
900,1.41,0.26,342.98,29.25
960,1.40,0.25,364.59,29.25
1020,1.40,0.25,386.08,29.31
1080,1.40,0.25,407.46,29.31
1140,1.40,0.25,428.78,29.37
1200,1.39,0.25,449.98,29.37
1260,1.39,0.25,471.10,29.44
1320,1.38,0.25,492.12,29.44
1380,1.39,0.25,513.04,29.44
1440,1.38,0.25,533.85,29.44
1500,1.38,0.25,554.60,29.44
1560,1.37,0.25,575.23,29.44
1620,1.38,0.25,595.81,29.44
1680,1.37,0.25,616.29,29.44
1740,1.37,0.25,636.68,29.44
1800,1.36,0.25,657.00,29.44
1860,1.36,0.25,677.21,29.44
1920,1.36,0.25,697.37,29.44
1980,1.35,0.25,717.41,29.37
2040,1.35,0.25,737.43,29.37
2100,1.36,0.25,757.32,29.37
2160,1.35,0.25,777.20,29.37
2220,1.35,0.25,796.95,29.37
2280,1.34,0.24,816.67,29.37
2340,1.35,0.25,836.29,29.37
2400,1.34,0.24,855.89,29.31
2460,1.34,0.24,875.38,29.31
2520,1.33,0.24,894.82,29.31
2580,1.34,0.24,914.21,29.25
2640,1.33,0.24,933.53,29.25
2700,1.33,0.24,952.81,29.25
2760,1.33,0.24,972.01,29.25
2820,1.32,0.24,991.18,29.19
2880,1.33,0.24,1010.32,29.19
2940,1.32,0.24,1029.40,29.19
3000,1.32,0.24,1048.43,29.12
3060,1.31,0.24,1067.43,29.06
3120,1.32,0.24,1086.36,29.06
3180,1.32,0.24,1105.24,29.06
3240,1.31,0.24,1124.10,29.00
3300,1.31,0.24,1142.88,29.00
3360,1.31,0.24,1161.64,29.00
3420,1.31,0.24,1180.34,29.00
3480,1.31,0.24,1198.96,28.94
3540,1.30,0.24,1217.57,28.94
3600,1.30,0.24,1236.13,28.94
3660,1.31,0.24,1254.62,28.94
3720,1.30,0.24,1273.09,28.87
3780,1.30,0.24,1291.54,28.87
3840,1.30,0.24,1309.99,28.81
3900,1.30,0.24,1328.38,28.81
3960,1.30,0.24,1346.72,28.75
4020,1.29,0.24,1365.05,28.75
4080,1.29,0.24,1383.36,28.75
4140,1.29,0.24,1401.65,28.75
4200,1.30,0.24,1419.86,28.69
4260,1.29,0.23,1438.07,28.69
4320,1.29,0.23,1456.25,28.69
4380,1.29,0.23,1474.42,28.62
4440,1.29,0.23,1492.55,28.62
4500,1.28,0.23,1510.63,28.56
4560,1.28,0.23,1528.68,28.56
4620,1.28,0.23,1546.73,28.50
4680,1.28,0.23,1564.77,28.56
4740,1.28,0.23,1582.81,28.50
4800,1.28,0.23,1600.81,28.50
4860,1.28,0.23,1618.76,28.50
4920,1.28,0.23,1636.68,28.44
4980,1.28,0.23,1654.60,28.44
5040,1.27,0.23,1672.49,28.44
5100,1.27,0.23,1690.33,28.37
5160,1.27,0.23,1708.13,28.31
5220,1.27,0.23,1725.92,28.31
5280,1.27,0.23,1743.68,28.31
5340,1.27,0.23,1761.44,28.31
5400,1.27,0.23,1779.13,28.25
5460,1.28,0.23,1796.80,28.25
5520,1.27,0.23,1814.45,28.25
5580,1.27,0.23,1832.10,28.19
5640,1.26,0.23,1849.71,28.19
5700,1.27,0.23,1867.29,28.19
5760,1.27,0.23,1884.83,28.19
5820,1.26,0.23,1902.34,28.12
5880,1.26,0.23,1919.85,28.12
5940,1.27,0.23,1937.34,28.12
6000,1.26,0.23,1954.81,28.06
6060,1.26,0.23,1972.20,28.06
6120,1.26,0.23,1989.59,28.06
6180,1.26,0.23,2006.96,28.06
6240,1.26,0.23,2024.33,28.00
6300,1.26,0.23,2041.67,28.00
6360,1.25,0.23,2058.99,27.94
6420,1.26,0.23,2076.26,27.94
6480,1.26,0.23,2093.53,27.94
6540,1.26,0.23,2110.77,27.94
6600,1.25,0.23,2128.01,27.87
6660,1.26,0.23,2145.25,27.87
6720,1.25,0.23,2162.48,27.81
6780,1.25,0.23,2179.66,27.81
6840,1.25,0.23,2196.80,27.81
6900,1.25,0.23,2213.94,27.81
6960,1.25,0.23,2231.05,27.75
7020,1.25,0.23,2248.16,27.75
7080,1.25,0.23,2265.24,27.69
7140,1.25,0.23,2282.28,27.75
7200,1.25,0.23,2299.28,27.69
7260,1.25,0.23,2316.25,27.69
7320,1.25,0.23,2333.22,27.62
7380,1.25,0.23,2350.18,27.62
7440,1.25,0.23,2367.15,27.62
7500,1.25,0.23,2384.08,27.62
7560,1.25,0.23,2400.94,27.56
7620,1.24,0.23,2417.80,27.56
7680,1.24,0.23,2434.64,27.56
7740,1.25,0.23,2451.48,27.56
7800,1.25,0.23,2468.28,27.50
7860,1.24,0.23,2485.07,27.44
7920,1.24,0.22,2501.83,27.50
7980,1.24,0.22,2518.57,27.44
8040,1.24,0.23,2535.28,27.44
8100,1.24,0.22,2551.99,27.44
8160,1.24,0.22,2568.68,27.44
8220,1.24,0.22,2585.38,27.44
8280,1.24,0.23,2602.03,27.37
8340,1.24,0.22,2618.68,27.37
8400,1.23,0.22,2635.28,27.37
8460,1.23,0.22,2651.87,27.31
8520,1.23,0.22,2668.46,27.31
8580,1.23,0.22,2685.03,27.31
8640,1.23,0.22,2701.57,27.31
8700,1.23,0.22,2718.08,27.25
