time,voltage,current,joules,temp
1,1.51,0.28,0.42,24.44
2,1.51,0.27,0.83,24.50
3,1.52,0.28,1.25,24.50
4,1.52,0.28,1.67,24.50
5,1.51,0.27,2.08,24.50
6,1.51,0.28,2.50,24.56
7,1.51,0.28,2.92,24.56
8,1.51,0.27,3.33,24.56
9,1.51,0.28,3.75,24.62
10,1.51,0.27,4.16,24.62
11,1.51,0.27,4.57,24.62
12,1.51,0.27,4.99,24.62
13,1.51,0.27,5.40,24.69
14,1.51,0.27,5.82,24.69
15,1.50,0.27,6.23,24.75
16,1.50,0.27,6.64,24.75
17,1.51,0.27,7.05,24.75
18,1.51,0.27,7.47,24.75
19,1.50,0.27,7.88,24.81
20,1.50,0.27,8.29,24.81
21,1.50,0.27,8.70,24.81
22,1.51,0.27,9.11,24.87
23,1.51,0.27,9.53,24.87
24,1.50,0.27,9.93,24.87
25,1.50,0.27,10.34,24.94
26,1.50,0.27,10.75,24.94
27,1.50,0.27,11.16,25.00
28,1.50,0.27,11.57,25.00
29,1.50,0.27,11.98,25.00
30,1.50,0.27,12.39,25.06
31,1.49,0.27,12.80,25.06
32,1.50,0.27,13.21,25.06
33,1.50,0.27,13.62,25.12
34,1.50,0.27,14.03,25.12
35,1.50,0.27,14.44,25.19
36,1.50,0.27,14.85,25.25
37,1.50,0.27,15.26,25.19
38,1.50,0.27,15.67,25.25
39,1.50,0.27,16.08,25.25
40,1.50,0.27,16.49,25.31
41,1.49,0.27,16.89,25.31
42,1.50,0.27,17.30,25.37
43,1.49,0.27,17.71,25.37
44,1.50,0.27,18.12,25.44
45,1.50,0.27,18.52,25.44
46,1.49,0.27,18.93,25.44
47,1.50,0.27,19.34,25.50
48,1.50,0.27,19.75,25.50
49,1.49,0.27,20.16,25.56
50,1.50,0.27,20.56,25.56
51,1.49,0.27,20.97,25.56
52,1.49,0.27,21.38,25.56
53,1.50,0.27,21.78,25.62
54,1.49,0.27,22.19,25.62
55,1.49,0.27,22.60,25.69
56,1.49,0.27,23.00,25.69
57,1.49,0.27,23.41,25.69
58,1.50,0.27,23.81,25.75
59,1.49,0.27,24.22,25.75
60,1.49,0.27,24.63,25.75
61,1.49,0.27,25.03,25.75
62,1.49,0.27,25.44,25.81
63,1.50,0.27,25.84,25.81
64,1.50,0.27,26.25,25.81
65,1.49,0.27,26.66,25.87
66,1.49,0.27,27.06,25.87
67,1.49,0.27,27.46,25.87
68,1.49,0.27,27.87,25.94
69,1.49,0.27,28.27,25.94
70,1.49,0.27,28.68,25.94
71,1.49,0.27,29.08,26.00
72,1.48,0.27,29.48,25.94
73,1.49,0.27,29.88,26.00
74,1.49,0.27,30.29,26.00
75,1.49,0.27,30.70,26.00
76,1.49,0.27,31.10,26.06
77,1.49,0.27,31.50,26.06
78,1.48,0.27,31.90,26.06
79,1.50,0.27,32.31,26.12
80,1.49,0.27,32.72,26.12
81,1.49,0.27,33.12,26.12
82,1.48,0.27,33.52,26.19
83,1.49,0.27,33.93,26.19
84,1.48,0.27,34.33,26.19
85,1.49,0.27,34.73,26.19
86,1.49,0.27,35.14,26.19
87,1.48,0.27,35.54,26.25
88,1.49,0.27,35.94,26.25
89,1.49,0.27,36.35,26.25
90,1.49,0.27,36.75,26.31
91,1.49,0.27,37.16,26.31
92,1.48,0.27,37.56,26.31
93,1.48,0.27,37.96,26.31
94,1.49,0.27,38.36,26.37
95,1.49,0.27,38.76,26.37
96,1.48,0.27,39.16,26.37
97,1.48,0.27,39.56,26.37
98,1.48,0.27,39.97,26.44
99,1.49,0.27,40.37,26.37
100,1.49,0.27,40.77,26.44
101,1.48,0.27,41.17,26.44
102,1.48,0.27,41.57,26.44
103,1.48,0.27,41.97,26.50
104,1.49,0.27,42.38,26.44
105,1.49,0.27,42.78,26.50
106,1.48,0.27,43.18,26.50
107,1.48,0.27,43.58,26.56
108,1.48,0.27,43.98,26.50
109,1.48,0.27,44.38,26.56
110,1.49,0.27,44.79,26.56
111,1.48,0.27,45.18,26.56
112,1.48,0.27,45.58,26.62
113,1.48,0.27,45.98,26.62
114,1.48,0.27,46.38,26.62
115,1.49,0.27,46.78,26.62
116,1.48,0.27,47.18,26.62
117,1.48,0.27,47.58,26.62
118,1.48,0.27,47.98,26.62
119,1.48,0.27,48.38,26.69
120,1.49,0.27,48.79,26.69
121,1.48,0.27,49.19,26.69
122,1.48,0.27,49.59,26.75
123,1.48,0.27,49.98,26.75
124,1.48,0.27,50.38,26.75
125,1.48,0.27,50.78,26.75
126,1.49,0.27,51.19,26.75
127,1.48,0.27,51.58,26.75
128,1.48,0.27,51.98,26.81
129,1.48,0.27,52.38,26.81
130,1.48,0.27,52.78,26.81
131,1.48,0.27,53.18,26.81
132,1.49,0.27,53.58,26.81
133,1.48,0.27,53.98,26.87
134,1.48,0.27,54.38,26.87
135,1.48,0.27,54.78,26.87
136,1.48,0.27,55.18,26.87
137,1.48,0.27,55.58,26.87
138,1.48,0.27,55.98,26.87
139,1.48,0.27,56.37,26.94
140,1.48,0.27,56.77,26.94
141,1.48,0.27,57.17,26.94
142,1.47,0.27,57.57,26.94
143,1.47,0.27,57.96,26.94
144,1.47,0.27,58.36,26.94
145,1.48,0.27,58.76,26.94
146,1.48,0.27,59.16,27.00
147,1.47,0.27,59.55,27.00
148,1.47,0.27,59.95,27.00
149,1.47,0.27,60.34,27.00
150,1.48,0.27,60.74,27.00
151,1.48,0.27,61.14,27.06
152,1.48,0.27,61.54,27.06
153,1.47,0.27,61.93,27.06
154,1.47,0.27,62.33,27.06
155,1.47,0.27,62.72,27.06
156,1.48,0.27,63.12,27.06
157,1.48,0.27,63.52,27.06
158,1.47,0.27,63.91,27.06
159,1.48,0.27,64.31,27.06
