time,voltage,current,joules,temp
60,1.51,0.27,25.09,21.81
120,1.49,0.27,49.63,22.81
180,1.48,0.27,73.78,23.50
240,1.47,0.27,97.61,24.00
300,1.46,0.27,121.18,24.37
360,1.46,0.27,144.50,24.69
420,1.46,0.27,167.60,24.94
480,1.45,0.26,190.50,25.12
540,1.44,0.26,213.23,25.31
600,1.44,0.26,235.76,25.50
660,1.43,0.26,258.12,25.56
720,1.43,0.26,280.33,25.69
780,1.42,0.26,302.39,25.81
840,1.42,0.26,324.31,25.87
900,1.42,0.26,346.11,26.00
960,1.41,0.26,367.76,26.06
1020,1.40,0.25,389.30,26.19
1080,1.40,0.25,410.74,26.19
1140,1.40,0.25,432.07,26.31
1200,1.40,0.25,453.27,26.37
1260,1.39,0.25,474.40,26.44
1320,1.39,0.25,495.44,26.44
1380,1.38,0.25,516.38,26.50
1440,1.39,0.25,537.25,26.56
1500,1.38,0.25,558.00,26.62
1560,1.37,0.25,578.67,26.62
1620,1.37,0.25,599.26,26.69
1680,1.37,0.25,619.74,26.69
1740,1.36,0.25,640.13,26.75
1800,1.36,0.25,660.45,26.75
1860,1.36,0.25,680.67,26.81
1920,1.35,0.25,700.83,26.81
1980,1.35,0.25,720.87,26.81
2040,1.35,0.25,740.90,26.87
2100,1.35,0.25,760.80,26.87
2160,1.35,0.25,780.65,26.87
2220,1.34,0.24,800.42,26.94
2280,1.34,0.24,820.15,26.94
2340,1.34,0.24,839.75,26.94
2400,1.33,0.24,859.32,26.94
2460,1.33,0.24,878.78,26.94
2520,1.33,0.24,898.20,27.00
2580,1.33,0.24,917.53,27.00
2640,1.33,0.24,936.82,27.00
2700,1.33,0.24,956.03,27.00
2760,1.32,0.24,975.19,27.00
2820,1.32,0.24,994.32,27.06
2880,1.32,0.24,1013.35,27.06
2940,1.32,0.24,1032.36,27.06
3000,1.32,0.24,1051.32,27.06
3060,1.31,0.24,1070.21,27.06
3120,1.31,0.24,1089.10,27.06
3180,1.32,0.24,1107.95,27.12
3240,1.31,0.24,1126.71,27.12
3300,1.31,0.24,1145.45,27.12
3360,1.30,0.24,1164.18,27.12
3420,1.31,0.24,1182.81,27.19
3480,1.31,0.24,1201.42,27.19
3540,1.31,0.24,1220.02,27.19
3600,1.30,0.24,1238.59,27.19
3660,1.30,0.24,1257.11,27.19
3720,1.30,0.24,1275.59,27.19
3780,1.30,0.24,1294.04,27.19
3840,1.29,0.24,1312.46,27.19
3900,1.30,0.24,1330.84,27.19
3960,1.30,0.24,1349.16,27.19
4020,1.30,0.24,1367.47,27.19
4080,1.29,0.24,1385.71,27.25
4140,1.29,0.24,1403.94,27.25
4200,1.29,0.24,1422.12,27.25
4260,1.29,0.24,1440.31,27.25
4320,1.29,0.23,1458.46,27.25
4380,1.28,0.23,1476.56,27.25
4440,1.29,0.24,1494.63,27.25
4500,1.29,0.23,1512.67,27.25
4560,1.29,0.23,1530.65,27.25
4620,1.28,0.23,1548.59,27.25
4680,1.28,0.23,1566.51,27.31
4740,1.28,0.23,1584.40,27.31
4800,1.28,0.23,1602.29,27.31
4860,1.27,0.23,1620.13,27.37
4920,1.27,0.23,1637.93,27.37
4980,1.28,0.23,1655.72,27.37
5040,1.28,0.23,1673.50,27.44
5100,1.27,0.23,1691.26,27.50
5160,1.27,0.23,1709.00,27.56
5220,1.27,0.23,1726.67,27.56
5280,1.27,0.23,1744.32,27.62
5340,1.27,0.23,1761.97,27.69
5400,1.27,0.23,1779.61,27.75
5460,1.27,0.23,1797.25,27.81
5520,1.27,0.23,1814.87,27.87
5580,1.26,0.23,1832.44,28.00
5640,1.26,0.23,1849.97,28.06
5700,1.26,0.23,1867.48,28.12
5760,1.26,0.23,1884.99,28.19
5820,1.26,0.23,1902.49,28.25
5880,1.26,0.23,1919.98,28.31
5940,1.26,0.23,1937.38,28.37
6000,1.26,0.23,1954.77,28.44
6060,1.26,0.23,1972.14,28.50
6120,1.26,0.23,1989.52,28.56
6180,1.26,0.23,2006.89,28.62
6240,1.26,0.23,2024.26,28.69
6300,1.26,0.23,2041.61,28.75
6360,1.26,0.23,2058.96,28.81
6420,1.25,0.23,2076.26,28.81
6480,1.25,0.23,2093.53,28.94
6540,1.25,0.23,2110.77,28.94
6600,1.25,0.23,2128.01,29.00
6660,1.25,0.23,2145.24,29.06
6720,1.25,0.23,2162.47,29.12
6780,1.25,0.23,2179.65,29.19
6840,1.25,0.23,2196.85,29.19
6900,1.25,0.23,2214.02,29.31
6960,1.25,0.23,2231.15,29.31
7020,1.25,0.23,2248.28,29.37
7080,1.25,0.23,2265.40,29.44
7140,1.25,0.23,2282.52,29.44
7200,1.25,0.23,2299.65,29.50
7260,1.25,0.23,2316.76,29.56
7320,1.25,0.23,2333.85,29.56
7380,1.25,0.23,2350.94,29.62
7440,1.25,0.23,2368.00,29.69
7500,1.25,0.23,2385.02,29.69
7560,1.25,0.23,2402.02,29.75
7620,1.25,0.23,2419.01,29.75
7680,1.25,0.23,2435.98,29.81
7740,1.25,0.23,2452.95,29.81
7800,1.25,0.23,2469.90,29.87
7860,1.25,0.23,2486.85,29.87
7920,1.24,0.23,2503.72,29.87
7980,1.25,0.23,2520.59,29.94
8040,1.25,0.23,2537.42,29.94
8100,1.25,0.23,2554.26,29.94
8160,1.24,0.23,2571.08,30.00
8220,1.24,0.23,2587.88,30.00
