time,voltage,current,joules,temp
1,1.52,0.28,0.42,20.44
2,1.53,0.28,0.84,20.44
3,1.53,0.28,1.27,20.50
4,1.52,0.28,1.69,20.50
5,1.53,0.28,2.12,20.50
6,1.53,0.28,2.54,20.50
7,1.52,0.28,2.96,20.56
8,1.53,0.28,3.39,20.56
9,1.52,0.28,3.81,20.56
10,1.52,0.28,4.23,20.62
11,1.53,0.28,4.66,20.62
12,1.52,0.28,5.07,20.62
13,1.52,0.28,5.50,20.62
14,1.52,0.28,5.92,20.69
15,1.52,0.28,6.34,20.69
16,1.52,0.28,6.76,20.69
17,1.52,0.28,7.18,20.69
18,1.52,0.28,7.60,20.75
19,1.52,0.28,8.02,20.75
20,1.52,0.28,8.44,20.81
21,1.52,0.28,8.86,20.81
22,1.52,0.28,9.28,20.81
23,1.52,0.28,9.70,20.87
24,1.52,0.28,10.12,20.94
25,1.51,0.28,10.54,20.94
26,1.51,0.28,10.96,20.94
27,1.52,0.28,11.37,21.00
28,1.52,0.28,11.79,21.00
29,1.51,0.28,12.21,21.00
30,1.51,0.27,12.62,21.06
31,1.51,0.28,13.04,21.12
32,1.52,0.28,13.46,21.12
33,1.52,0.28,13.88,21.19
34,1.51,0.28,14.30,21.19
35,1.52,0.28,14.72,21.19
36,1.51,0.27,15.13,21.25
37,1.52,0.28,15.55,21.25
38,1.52,0.28,15.97,21.25
39,1.51,0.27,16.38,21.31
40,1.51,0.27,16.80,21.31
41,1.51,0.28,17.21,21.37
42,1.51,0.27,17.63,21.37
43,1.52,0.28,18.05,21.37
44,1.51,0.28,18.46,21.44
45,1.51,0.27,18.88,21.44
46,1.51,0.28,19.29,21.50
47,1.51,0.28,19.71,21.50
48,1.51,0.27,20.12,21.50
49,1.51,0.28,20.54,21.56
50,1.51,0.27,20.95,21.56
51,1.51,0.27,21.37,21.62
52,1.51,0.28,21.78,21.62
53,1.51,0.27,22.20,21.69
54,1.51,0.27,22.61,21.69
55,1.50,0.27,23.02,21.69
56,1.51,0.27,23.44,21.69
57,1.51,0.28,23.85,21.75
58,1.51,0.27,24.27,21.75
59,1.50,0.27,24.68,21.81
60,1.51,0.27,25.09,21.81
61,1.50,0.27,25.50,21.81
62,1.51,0.27,25.92,21.81
63,1.51,0.27,26.33,21.87
64,1.50,0.27,26.74,21.87
65,1.50,0.27,27.15,21.94
66,1.50,0.27,27.56,21.94
67,1.50,0.27,27.98,21.94
68,1.51,0.27,28.39,22.00
69,1.50,0.27,28.80,22.00
70,1.50,0.27,29.21,22.00
71,1.50,0.27,29.62,22.00
72,1.50,0.27,30.03,22.06
73,1.51,0.27,30.44,22.06
74,1.51,0.27,30.86,22.12
75,1.50,0.27,31.27,22.12
76,1.50,0.27,31.68,22.12
77,1.50,0.27,32.09,22.12
78,1.51,0.27,32.50,22.19
79,1.50,0.27,32.91,22.19
80,1.50,0.27,33.32,22.19
81,1.50,0.27,33.73,22.19
82,1.50,0.27,34.14,22.25
83,1.50,0.27,34.55,22.25
84,1.51,0.27,34.96,22.25
85,1.50,0.27,35.37,22.31
86,1.50,0.27,35.78,22.31
87,1.50,0.27,36.19,22.31
88,1.50,0.27,36.60,22.31
