time,voltage,current,joules,temp
60,1.50,0.27,26.49,28.25
120,1.47,0.27,50.60,29.12
180,1.45,0.26,73.79,29.62
240,1.44,0.26,96.55,30.00
300,1.44,0.26,119.26,30.25
360,1.44,0.26,141.96,30.50
420,1.44,0.26,164.67,30.62
480,1.45,0.26,187.39,30.81
540,1.44,0.26,210.15,30.94
600,1.44,0.26,232.92,31.06
660,1.44,0.26,255.72,31.12
720,1.45,0.26,278.55,31.25
780,1.45,0.26,301.37,31.31
840,1.45,0.26,324.20,31.37
900,1.45,0.26,347.04,31.44
960,1.45,0.26,369.90,31.50
1020,1.45,0.26,392.75,31.62
1080,1.45,0.26,415.60,31.69
1140,1.45,0.26,438.45,31.69
1200,1.45,0.26,461.31,31.75
1260,1.45,0.26,484.17,31.75
1320,1.45,0.26,507.03,31.81
1380,1.45,0.26,529.91,31.81
1440,1.45,0.26,552.80,31.87
1500,1.45,0.26,575.68,31.87
1560,1.45,0.26,598.56,31.87
1620,1.45,0.26,621.42,31.94
1680,1.45,0.26,644.31,31.94
1740,1.45,0.26,667.19,31.94
1800,1.45,0.26,690.07,32.00
1860,1.45,0.26,712.94,32.00
1920,1.45,0.26,735.80,32.00
1980,1.45,0.26,758.66,32.00
2040,1.45,0.26,781.55,32.00
2100,1.45,0.26,804.41,32.06
2160,1.45,0.26,827.28,32.06
2220,1.45,0.26,850.19,32.06
2280,1.46,0.26,873.12,32.06
2340,1.45,0.26,896.00,32.06
2400,1.45,0.26,918.89,32.06
2460,1.45,0.26,941.75,32.06
2520,1.45,0.26,964.63,32.06
2580,1.45,0.26,987.51,32.06
2640,1.45,0.26,1010.37,32.06
2700,1.45,0.26,1033.22,32.06
2760,1.46,0.26,1056.08,32.06
2820,1.45,0.26,1078.95,32.06
2880,1.45,0.26,1101.80,32.06
2940,1.45,0.26,1124.66,32.06
3000,1.45,0.26,1147.51,32.06
3060,1.45,0.26,1170.38,32.06
3120,1.45,0.26,1193.24,32.06
3180,1.45,0.26,1216.09,32.06
3240,1.45,0.26,1238.94,32.00
3300,1.46,0.26,1261.80,32.06
3360,1.45,0.26,1284.65,32.06
3420,1.45,0.26,1307.50,32.06
3480,1.45,0.26,1330.35,32.06
3540,1.45,0.26,1353.20,32.00
3600,1.45,0.26,1376.04,32.00
3660,1.45,0.26,1398.89,32.00
3720,1.45,0.26,1421.73,32.00
3780,1.45,0.26,1444.57,32.00
3840,1.45,0.26,1467.41,32.00
3900,1.45,0.26,1490.27,32.00
3960,1.45,0.26,1513.09,32.00
4020,1.45,0.26,1535.94,32.00
4080,1.45,0.26,1558.76,32.00
4140,1.45,0.26,1581.63,31.94
4200,1.45,0.26,1604.48,31.94
4260,1.45,0.26,1627.34,31.94
4320,1.44,0.26,1650.17,32.00
4380,1.45,0.26,1673.00,32.00
4440,1.45,0.26,1695.82,31.94
4500,1.45,0.26,1718.63,31.94
4560,1.45,0.26,1741.45,32.00
4620,1.45,0.26,1764.28,31.94
4680,1.45,0.26,1787.10,31.94
4740,1.44,0.26,1809.92,31.94
4800,1.45,0.26,1832.73,31.94
4860,1.44,0.26,1855.54,31.94
