time,voltage,current,joules,temp
1,1.70,0.31,0.53,26.94
2,1.69,0.31,1.05,26.94
3,1.67,0.30,1.55,27.00
4,1.67,0.30,2.06,27.00
5,1.66,0.30,2.56,27.00
6,1.65,0.30,3.05,27.00
7,1.65,0.30,3.54,27.00
8,1.63,0.30,4.03,27.00
9,1.63,0.30,4.51,27.06
10,1.63,0.30,4.99,27.06
11,1.61,0.29,5.46,27.12
12,1.61,0.29,5.93,27.12
13,1.60,0.29,6.40,27.12
14,1.60,0.29,6.86,27.12
15,1.60,0.29,7.33,27.19
16,1.60,0.29,7.79,27.19
17,1.59,0.29,8.25,27.19
18,1.58,0.29,8.71,27.25
19,1.58,0.29,9.16,27.25
20,1.58,0.29,9.61,27.25
21,1.57,0.29,10.06,27.31
22,1.56,0.28,10.50,27.31
23,1.56,0.28,10.94,27.37
24,1.55,0.28,11.38,27.37
25,1.55,0.28,11.82,27.44
26,1.55,0.28,12.26,27.44
27,1.55,0.28,12.70,27.50
28,1.54,0.28,13.13,27.50
29,1.53,0.28,13.56,27.56
30,1.53,0.28,13.98,27.56
31,1.54,0.28,14.41,27.56
32,1.53,0.28,14.84,27.62
33,1.53,0.28,15.27,27.62
34,1.52,0.28,15.69,27.69
35,1.52,0.28,16.11,27.69
36,1.53,0.28,16.53,27.69
37,1.52,0.28,16.96,27.75
38,1.52,0.28,17.38,27.75
39,1.52,0.28,17.79,27.81
40,1.52,0.28,18.21,27.81
41,1.51,0.28,18.63,27.81
42,1.52,0.28,19.05,27.87
43,1.52,0.28,19.47,27.87
44,1.51,0.27,19.88,27.94
45,1.52,0.28,20.30,27.94
46,1.51,0.28,20.72,28.00
47,1.51,0.27,21.13,28.00
48,1.51,0.28,21.55,28.00
49,1.50,0.27,21.96,28.00
50,1.50,0.27,22.37,28.06
51,1.51,0.27,22.79,28.12
52,1.50,0.27,23.20,28.12
53,1.50,0.27,23.61,28.12
54,1.50,0.27,24.02,28.19
55,1.50,0.27,24.43,28.12
56,1.51,0.27,24.84,28.19
57,1.51,0.27,25.26,28.19
58,1.50,0.27,25.67,28.25
59,1.50,0.27,26.08,28.25
60,1.50,0.27,26.49,28.25
61,1.50,0.27,26.90,28.31
62,1.50,0.27,27.31,28.31
63,1.50,0.27,27.72,28.31
64,1.50,0.27,28.13,28.37
65,1.50,0.27,28.53,28.37
66,1.50,0.27,28.94,28.37
67,1.50,0.27,29.35,28.37
68,1.49,0.27,29.76,28.37
69,1.49,0.27,30.16,28.44
70,1.49,0.27,30.57,28.44
71,1.49,0.27,30.98,28.44
72,1.50,0.27,31.38,28.50
73,1.50,0.27,31.79,28.50
74,1.49,0.27,32.20,28.50
75,1.49,0.27,32.60,28.50
76,1.49,0.27,33.01,28.50
77,1.50,0.27,33.42,28.56
78,1.50,0.27,33.83,28.56
79,1.49,0.27,34.23,28.62
80,1.49,0.27,34.63,28.62
81,1.49,0.27,35.04,28.62
82,1.49,0.27,35.44,28.62
83,1.50,0.27,35.85,28.62
84,1.49,0.27,36.25,28.69
85,1.48,0.27,36.66,28.69
86,1.49,0.27,37.06,28.69
87,1.49,0.27,37.46,28.75
88,1.49,0.27,37.87,28.69
89,1.49,0.27,38.27,28.75
90,1.48,0.27,38.67,28.75
91,1.48,0.27,39.07,28.75
92,1.49,0.27,39.48,28.81
93,1.48,0.27,39.88,28.81
94,1.48,0.27,40.28,28.81
95,1.48,0.27,40.68,28.87
96,1.48,0.27,41.08,28.81
97,1.48,0.27,41.48,28.87
98,1.48,0.27,41.88,28.87
99,1.48,0.27,42.28,28.87
100,1.48,0.27,42.67,28.87
101,1.48,0.27,43.07,28.87
102,1.48,0.27,43.47,28.87
103,1.48,0.27,43.87,28.94
104,1.47,0.27,44.27,28.94
105,1.48,0.27,44.67,28.94
106,1.47,0.27,45.06,29.00
107,1.47,0.27,45.46,28.94
108,1.48,0.27,45.86,29.00
109,1.47,0.27,46.25,29.00
110,1.47,0.27,46.65,29.00
111,1.47,0.27,47.04,29.00
112,1.47,0.27,47.44,29.06
113,1.48,0.27,47.84,29.06
114,1.48,0.27,48.23,29.06
115,1.47,0.27,48.63,29.06
116,1.48,0.27,49.02,29.06
117,1.46,0.27,49.41,29.06
118,1.48,0.27,49.81,29.06
119,1.47,0.27,50.21,29.12
120,1.47,0.27,50.60,29.12
121,1.47,0.27,50.99,29.12
122,1.47,0.27,51.39,29.12
123,1.47,0.27,51.78,29.19
124,1.47,0.27,52.18,29.12
125,1.46,0.27,52.57,29.19
126,1.46,0.27,52.96,29.19
127,1.47,0.27,53.35,29.19
128,1.47,0.27,53.74,29.19
129,1.46,0.27,54.13,29.25
130,1.47,0.27,54.53,29.19
131,1.46,0.27,54.92,29.25
132,1.47,0.27,55.31,29.25
133,1.47,0.27,55.70,29.25
134,1.46,0.27,56.09,29.25
135,1.46,0.27,56.48,29.31
136,1.46,0.27,56.86,29.31
137,1.46,0.27,57.25,29.31
138,1.46,0.27,57.64,29.31
139,1.46,0.27,58.03,29.31
140,1.46,0.27,58.42,29.31
141,1.46,0.27,58.81,29.31
142,1.46,0.26,59.19,29.31
143,1.46,0.27,59.58,29.37
144,1.46,0.27,59.97,29.37
145,1.46,0.27,60.36,29.37
146,1.46,0.26,60.74,29.37
147,1.46,0.26,61.13,29.37
148,1.46,0.27,61.52,29.37
149,1.46,0.27,61.90,29.44
150,1.46,0.26,62.29,29.44
151,1.46,0.26,62.67,29.44
152,1.45,0.26,63.06,29.44
153,1.45,0.26,63.44,29.44
154,1.46,0.27,63.83,29.44
155,1.46,0.27,64.21,29.44
156,1.46,0.26,64.60,29.44
157,1.46,0.26,64.98,29.44
158,1.45,0.26,65.37,29.50
159,1.46,0.26,65.75,29.50
160,1.46,0.26,66.14,29.50
161,1.45,0.26,66.52,29.50
162,1.45,0.26,66.90,29.50
163,1.46,0.26,67.29,29.50
164,1.45,0.26,67.67,29.50
165,1.46,0.27,68.06,29.56
166,1.45,0.26,68.44,29.56
167,1.45,0.26,68.82,29.56
168,1.46,0.26,69.21,29.56
169,1.45,0.26,69.59,29.56
170,1.45,0.26,69.97,29.56
171,1.46,0.26,70.36,29.62
172,1.45,0.26,70.74,29.56
173,1.46,0.26,71.12,29.62
174,1.46,0.26,71.51,29.56
175,1.45,0.26,71.89,29.62
176,1.45,0.26,72.27,29.56
177,1.45,0.26,72.65,29.62
178,1.45,0.26,73.03,29.62
179,1.46,0.26,73.41,29.62
180,1.45,0.26,73.79,29.62
181,1.45,0.26,74.17,29.69
182,1.45,0.26,74.55,29.62
183,1.45,0.26,74.93,29.69
184,1.45,0.26,75.32,29.69
185,1.45,0.26,75.70,29.69
186,1.45,0.26,76.08,29.69
187,1.45,0.26,76.46,29.69
188,1.45,0.26,76.84,29.69
189,1.45,0.26,77.22,29.69
190,1.45,0.26,77.60,29.75
191,1.45,0.26,77.98,29.75
192,1.45,0.26,78.36,29.75
193,1.44,0.26,78.74,29.69
194,1.45,0.26,79.12,29.75
195,1.45,0.26,79.50,29.75
196,1.45,0.26,79.88,29.75
197,1.45,0.26,80.26,29.75
198,1.45,0.26,80.64,29.75
199,1.44,0.26,81.02,29.75
200,1.45,0.26,81.40,29.75
201,1.45,0.26,81.78,29.81
202,1.45,0.26,82.16,29.75
203,1.44,0.26,82.54,29.81
204,1.45,0.26,82.92,29.81
205,1.44,0.26,83.29,29.81
206,1.45,0.26,83.67,29.81
207,1.45,0.26,84.05,29.81
208,1.45,0.26,84.43,29.81
209,1.45,0.26,84.81,29.81
210,1.45,0.26,85.20,29.81
211,1.44,0.26,85.57,29.87
212,1.44,0.26,85.95,29.87
213,1.44,0.26,86.33,29.81
214,1.45,0.26,86.71,29.81
215,1.45,0.26,87.09,29.87
216,1.44,0.26,87.47,29.87
217,1.44,0.26,87.84,29.87
218,1.44,0.26,88.22,29.87
219,1.45,0.26,88.60,29.94
220,1.45,0.26,88.98,29.87
221,1.44,0.26,89.36,29.87
222,1.44,0.26,89.74,29.94
223,1.44,0.26,90.11,29.94
224,1.44,0.26,90.49,29.94
225,1.45,0.26,90.87,29.94
226,1.45,0.26,91.25,29.94
227,1.44,0.26,91.63,29.94
228,1.45,0.26,92.01,29.94
229,1.44,0.26,92.39,29.94
230,1.45,0.26,92.77,29.94
231,1.45,0.26,93.15,29.94
232,1.44,0.26,93.53,30.00
233,1.44,0.26,93.90,29.94
234,1.45,0.26,94.28,30.00
235,1.44,0.26,94.66,29.94
236,1.45,0.26,95.04,30.00
237,1.44,0.26,95.42,30.00
238,1.44,0.26,95.79,30.00
239,1.45,0.26,96.18,30.00
240,1.44,0.26,96.55,30.00
241,1.44,0.26,96.93,30.00
242,1.45,0.26,97.31,30.06
243,1.44,0.26,97.69,30.00
244,1.45,0.26,98.07,30.00
245,1.45,0.26,98.45,30.00
246,1.45,0.26,98.83,30.00
247,1.45,0.26,99.21,30.06
248,1.44,0.26,99.59,30.06
249,1.44,0.26,99.96,30.06
