time,voltage,current,joules,temp
60,1.47,0.27,24.07,26.81
120,1.47,0.27,47.53,27.75
180,1.45,0.26,70.63,28.31
240,1.44,0.26,93.40,28.75
300,1.43,0.26,115.94,29.06
360,1.43,0.26,138.25,29.31
420,1.42,0.26,160.36,29.50
480,1.41,0.26,182.28,29.69
540,1.41,0.26,204.04,29.81
600,1.40,0.25,225.64,29.94
660,1.40,0.25,247.10,30.06
720,1.40,0.25,268.45,30.12
780,1.39,0.25,289.68,30.25
840,1.39,0.25,310.79,30.31
900,1.38,0.25,331.79,30.37
960,1.38,0.25,352.68,30.50
1020,1.38,0.25,373.45,30.50
1080,1.37,0.25,394.10,30.56
1140,1.37,0.25,414.69,30.69
1200,1.36,0.25,435.15,30.69
1260,1.36,0.25,455.54,30.69
1320,1.36,0.25,475.84,30.75
1380,1.36,0.25,496.03,30.81
1440,1.35,0.25,516.12,30.87
1500,1.35,0.25,536.14,30.87
1560,1.35,0.25,556.04,30.87
1620,1.35,0.25,575.87,30.94
1680,1.35,0.25,595.62,30.94
1740,1.34,0.24,615.29,30.94
1800,1.34,0.24,634.89,31.00
1860,1.34,0.24,654.42,31.00
1920,1.34,0.24,673.87,31.00
1980,1.33,0.24,693.25,31.00
2040,1.33,0.24,712.57,31.06
2100,1.33,0.24,731.84,31.06
2160,1.33,0.24,751.03,31.06
2220,1.32,0.24,770.17,31.06
2280,1.32,0.24,789.23,31.06
2340,1.32,0.24,808.24,31.12
2400,1.32,0.24,827.19,31.12
2460,1.32,0.24,846.07,31.12
2520,1.31,0.24,864.94,31.12
2580,1.32,0.24,883.72,31.12
2640,1.31,0.24,902.47,31.12
2700,1.31,0.24,921.18,31.19
2760,1.31,0.24,939.82,31.19
2820,1.30,0.24,958.43,31.19
2880,1.31,0.24,977.01,31.19
2940,1.30,0.24,995.55,31.19
3000,1.30,0.24,1014.04,31.19
3060,1.30,0.24,1032.51,31.19
3120,1.30,0.24,1050.96,31.19
3180,1.30,0.24,1069.39,31.25
3240,1.30,0.24,1087.76,31.25
3300,1.29,0.24,1106.08,31.25
3360,1.29,0.24,1124.40,31.25
3420,1.29,0.24,1142.65,31.25
3480,1.29,0.24,1160.86,31.25
3540,1.29,0.23,1179.04,31.25
3600,1.29,0.23,1197.18,31.25
3660,1.29,0.24,1215.26,31.25
3720,1.29,0.23,1233.30,31.31
3780,1.28,0.23,1251.34,31.31
3840,1.28,0.23,1269.37,31.31
3900,1.28,0.23,1287.33,31.31
3960,1.28,0.23,1305.25,31.31
4020,1.28,0.23,1323.15,31.31
4080,1.28,0.23,1341.05,31.31
4140,1.28,0.23,1358.88,31.37
4200,1.28,0.23,1376.67,31.37
4260,1.27,0.23,1394.45,31.37
4320,1.27,0.23,1412.20,31.37
4380,1.27,0.23,1429.88,31.37
4440,1.27,0.23,1447.54,31.44
4500,1.27,0.23,1465.18,31.44
4560,1.26,0.23,1482.81,31.44
4620,1.26,0.23,1500.40,31.50
4680,1.26,0.23,1517.93,31.44
4740,1.26,0.23,1535.47,31.44
4800,1.26,0.23,1552.99,31.50
4860,1.26,0.23,1570.49,31.50
4920,1.26,0.23,1587.97,31.50
4980,1.26,0.23,1605.39,31.50
5040,1.26,0.23,1622.79,31.50
5100,1.26,0.23,1640.16,31.56
5160,1.25,0.23,1657.50,31.56
5220,1.26,0.23,1674.83,31.56
5280,1.25,0.23,1692.08,31.56
5340,1.25,0.23,1709.33,31.56
5400,1.25,0.23,1726.57,31.62
5460,1.26,0.23,1743.80,31.62
5520,1.25,0.23,1760.98,31.62
5580,1.25,0.23,1778.12,31.62
5640,1.25,0.23,1795.23,31.62
5700,1.25,0.23,1812.33,31.62
5760,1.25,0.23,1829.42,31.69
5820,1.25,0.23,1846.48,31.75
5880,1.25,0.23,1863.53,31.81
5940,1.25,0.23,1880.52,31.87
6000,1.25,0.23,1897.51,32.00
6060,1.24,0.23,1914.48,32.06
6120,1.25,0.23,1931.45,32.13
6180,1.25,0.23,1948.40,32.19
6240,1.25,0.23,1965.35,32.25
6300,1.25,0.23,1982.29,32.25
6360,1.24,0.23,1999.17,32.31
6420,1.25,0.23,2016.02,32.31
6480,1.25,0.23,2032.86,32.38
6540,1.25,0.23,2049.69,32.38
