time,voltage,current,joules,temp
1,1.51,0.27,0.41,25.50
2,1.50,0.27,0.83,25.56
3,1.51,0.27,1.24,25.56
4,1.50,0.27,1.65,25.62
5,1.49,0.27,2.06,25.62
6,1.50,0.27,2.47,25.62
7,1.50,0.27,2.88,25.62
8,1.49,0.27,3.28,25.69
9,1.50,0.27,3.69,25.69
10,1.49,0.27,4.10,25.69
11,1.49,0.27,4.50,25.69
12,1.49,0.27,4.91,25.69
13,1.48,0.27,5.31,25.75
14,1.49,0.27,5.71,25.75
15,1.49,0.27,6.11,25.75
16,1.49,0.27,6.52,25.81
17,1.49,0.27,6.92,25.81
18,1.49,0.27,7.33,25.81
19,1.48,0.27,7.73,25.81
20,1.49,0.27,8.13,25.87
21,1.48,0.27,8.53,25.87
22,1.49,0.27,8.94,25.94
23,1.49,0.27,9.34,25.94
24,1.48,0.27,9.74,26.00
25,1.48,0.27,10.14,26.00
26,1.48,0.27,10.54,26.00
27,1.48,0.27,10.94,26.00
28,1.49,0.27,11.35,26.06
29,1.49,0.27,11.75,26.12
30,1.48,0.27,12.15,26.12
31,1.48,0.27,12.55,26.19
32,1.48,0.27,12.95,26.19
33,1.48,0.27,13.35,26.19
34,1.48,0.27,13.75,26.19
35,1.48,0.27,14.15,26.25
36,1.48,0.27,14.54,26.25
37,1.48,0.27,14.94,26.25
38,1.49,0.27,15.35,26.31
39,1.48,0.27,15.75,26.37
40,1.48,0.27,16.14,26.37
41,1.47,0.27,16.54,26.44
42,1.48,0.27,16.94,26.44
43,1.47,0.27,17.33,26.44
44,1.48,0.27,17.73,26.50
45,1.48,0.27,18.13,26.50
46,1.47,0.27,18.52,26.50
47,1.48,0.27,18.92,26.56
48,1.48,0.27,19.32,26.56
49,1.47,0.27,19.72,26.56
50,1.48,0.27,20.11,26.62
51,1.47,0.27,20.51,26.62
52,1.47,0.27,20.90,26.62
53,1.48,0.27,21.30,26.69
54,1.47,0.27,21.70,26.69
55,1.47,0.27,22.09,26.69
56,1.47,0.27,22.49,26.75
57,1.47,0.27,22.88,26.75
58,1.48,0.27,23.28,26.75
59,1.47,0.27,23.67,26.81
60,1.47,0.27,24.07,26.81
61,1.47,0.27,24.46,26.81
62,1.47,0.27,24.86,26.87
63,1.47,0.27,25.25,26.87
64,1.47,0.27,25.65,26.87
65,1.47,0.27,26.04,26.94
66,1.47,0.27,26.43,26.87
67,1.47,0.27,26.83,26.94
68,1.46,0.27,27.22,26.94
69,1.47,0.27,27.61,27.00
70,1.47,0.27,28.00,27.00
71,1.47,0.27,28.40,27.00
72,1.46,0.27,28.79,27.00
73,1.47,0.27,29.18,27.06
74,1.47,0.27,29.58,27.06
75,1.47,0.27,29.97,27.06
76,1.46,0.27,30.36,27.06
77,1.46,0.27,30.75,27.12
78,1.46,0.27,31.14,27.12
79,1.48,0.27,31.54,27.12
80,1.47,0.27,31.93,27.19
81,1.46,0.27,32.32,27.19
82,1.47,0.27,32.72,27.19
83,1.47,0.27,33.11,27.25
84,1.46,0.27,33.50,27.25
85,1.47,0.27,33.89,27.25
86,1.46,0.27,34.28,27.25
87,1.46,0.27,34.67,27.25
88,1.47,0.27,35.07,27.31
89,1.47,0.27,35.46,27.31
90,1.46,0.27,35.85,27.31
91,1.47,0.27,36.24,27.31
92,1.46,0.27,36.63,27.37
93,1.46,0.27,37.02,27.37
94,1.47,0.27,37.42,27.37
95,1.46,0.27,37.81,27.37
96,1.46,0.27,38.20,27.44
97,1.46,0.27,38.59,27.44
98,1.46,0.27,38.98,27.44
99,1.47,0.27,39.37,27.44
100,1.46,0.27,39.76,27.44
101,1.46,0.27,40.15,27.50
102,1.46,0.27,40.53,27.50
103,1.46,0.27,40.92,27.50
104,1.46,0.27,41.31,27.50
105,1.46,0.27,41.70,27.56
106,1.46,0.27,42.09,27.50
107,1.46,0.27,42.48,27.56
108,1.46,0.27,42.87,27.56
109,1.46,0.27,43.25,27.62
110,1.46,0.27,43.64,27.62
111,1.46,0.27,44.03,27.62
112,1.46,0.27,44.42,27.62
113,1.46,0.26,44.80,27.62
114,1.46,0.27,45.19,27.62
115,1.46,0.27,45.58,27.69
116,1.46,0.27,45.97,27.69
117,1.46,0.27,46.36,27.69
118,1.46,0.27,46.75,27.69
119,1.46,0.26,47.13,27.75
120,1.47,0.27,47.53,27.75
121,1.46,0.27,47.92,27.75
122,1.46,0.27,48.31,27.75
123,1.46,0.26,48.69,27.75
124,1.46,0.27,49.08,27.81
125,1.46,0.27,49.47,27.81
126,1.46,0.27,49.86,27.81
127,1.46,0.26,50.24,27.81
128,1.46,0.26,50.63,27.81
129,1.46,0.27,51.01,27.87
130,1.46,0.27,51.40,27.87
131,1.46,0.27,51.79,27.81
132,1.46,0.27,52.18,27.87
133,1.46,0.26,52.56,27.87
134,1.46,0.27,52.95,27.87
135,1.46,0.27,53.34,27.87
136,1.46,0.26,53.73,27.94
137,1.46,0.26,54.11,27.94
138,1.46,0.26,54.50,27.94
139,1.46,0.26,54.88,27.94
140,1.46,0.27,55.27,27.94
141,1.46,0.27,55.66,27.94
142,1.46,0.26,56.04,28.00
143,1.46,0.26,56.43,28.00
144,1.46,0.26,56.81,28.00
145,1.46,0.27,57.20,28.00
146,1.46,0.27,57.59,28.00
147,1.46,0.26,57.97,28.00
148,1.46,0.26,58.36,28.06
149,1.45,0.26,58.74,28.06
150,1.46,0.27,59.13,28.06
151,1.46,0.27,59.51,28.06
152,1.45,0.26,59.90,28.06
153,1.45,0.26,60.28,28.06
154,1.45,0.26,60.66,28.06
155,1.45,0.26,61.04,28.12
156,1.46,0.26,61.42,28.12
157,1.46,0.26,61.81,28.12
158,1.45,0.26,62.19,28.12
159,1.46,0.26,62.58,28.12
160,1.45,0.26,62.96,28.12
161,1.46,0.26,63.34,28.12
162,1.46,0.26,63.73,28.12
163,1.45,0.26,64.11,28.19
164,1.45,0.26,64.49,28.19
165,1.46,0.26,64.88,28.19
166,1.45,0.26,65.26,28.19
167,1.46,0.27,65.65,28.19
168,1.45,0.26,66.03,28.19
169,1.45,0.26,66.41,28.25
170,1.46,0.26,66.80,28.25
171,1.46,0.26,67.18,28.25
172,1.45,0.26,67.56,28.25
173,1.46,0.26,67.95,28.25
174,1.45,0.26,68.33,28.31
175,1.46,0.26,68.72,28.31
176,1.46,0.26,69.10,28.25
177,1.45,0.26,69.48,28.31
178,1.45,0.26,69.87,28.25
179,1.45,0.26,70.25,28.31
180,1.45,0.26,70.63,28.31
181,1.46,0.26,71.01,28.31
182,1.45,0.26,71.39,28.31
183,1.45,0.26,71.77,28.31
184,1.45,0.26,72.15,28.37
185,1.45,0.26,72.53,28.37
186,1.45,0.26,72.91,28.37
187,1.45,0.26,73.30,28.37
188,1.45,0.26,73.68,28.37
189,1.45,0.26,74.06,28.44
190,1.45,0.26,74.44,28.37
