time,voltage,current,joules,temp
60,1.49,0.27,24.77,28.50
120,1.48,0.27,48.90,29.00
180,1.47,0.27,72.66,29.19
240,1.46,0.27,96.11,29.37
300,1.45,0.26,119.30,29.50
360,1.45,0.26,142.25,29.56
420,1.45,0.26,165.01,29.56
480,1.44,0.26,187.55,29.62
540,1.43,0.26,209.92,29.69
600,1.43,0.26,232.13,29.69
660,1.42,0.26,254.19,29.69
720,1.42,0.26,276.10,29.75
780,1.41,0.26,297.86,29.75
840,1.41,0.26,319.49,29.75
900,1.41,0.26,341.01,29.81
960,1.40,0.25,362.41,29.81
1020,1.39,0.25,383.69,29.81
1080,1.39,0.25,404.87,29.87
1140,1.39,0.25,425.93,29.87
1200,1.39,0.25,446.90,29.87
1260,1.38,0.25,467.78,29.87
1320,1.38,0.25,488.53,29.87
1380,1.37,0.25,509.21,29.87
1440,1.38,0.25,529.81,29.94
1500,1.37,0.25,550.30,29.94
1560,1.36,0.25,570.71,29.94
1620,1.36,0.25,591.02,29.94
1680,1.36,0.25,611.29,29.87
1740,1.36,0.25,631.45,29.87
1800,1.35,0.25,651.54,29.87
1860,1.35,0.25,671.55,29.81
1920,1.35,0.25,691.46,29.81
1980,1.34,0.24,711.28,29.75
2040,1.34,0.24,731.02,29.81
2100,1.34,0.24,750.66,29.75
2160,1.34,0.24,770.25,29.69
2220,1.33,0.24,789.74,29.69
2280,1.33,0.24,809.19,29.69
2340,1.33,0.24,828.54,29.62
2400,1.33,0.24,847.84,29.62
2460,1.32,0.24,867.06,29.56
2520,1.32,0.24,886.23,29.62
2580,1.32,0.24,905.36,29.56
2640,1.32,0.24,924.39,29.56
2700,1.32,0.24,943.38,29.56
2760,1.31,0.24,962.29,29.56
2820,1.31,0.24,981.17,29.56
2880,1.31,0.24,999.98,29.50
2940,1.32,0.24,1018.73,29.50
3000,1.31,0.24,1037.47,29.50
3060,1.30,0.24,1056.13,29.50
3120,1.30,0.24,1074.75,29.50
3180,1.31,0.24,1093.34,29.44
3240,1.30,0.24,1111.86,29.44
3300,1.30,0.24,1130.32,29.44
3360,1.30,0.24,1148.78,29.44
3420,1.30,0.24,1167.25,29.44
3480,1.30,0.24,1185.65,29.50
3540,1.30,0.24,1204.01,29.44
3600,1.29,0.24,1222.35,29.50
3660,1.30,0.24,1240.66,29.50
3720,1.29,0.24,1258.90,29.50
3780,1.29,0.24,1277.09,29.56
3840,1.29,0.23,1295.26,29.56
3900,1.29,0.23,1313.41,29.50
3960,1.29,0.24,1331.46,29.56
4020,1.29,0.23,1349.51,29.56
4080,1.29,0.23,1367.54,29.62
4140,1.28,0.23,1385.54,29.62
4200,1.28,0.23,1403.45,29.62
4260,1.28,0.23,1421.38,29.62
4320,1.28,0.23,1439.27,29.69
