time,voltage,current,joules,temp
1,1.52,0.28,0.42,27.94
2,1.52,0.28,0.84,27.94
3,1.52,0.28,1.26,27.94
4,1.52,0.28,1.68,27.94
5,1.52,0.28,2.10,27.94
6,1.52,0.28,2.52,27.94
7,1.52,0.28,2.94,27.94
8,1.52,0.28,3.36,27.94
9,1.51,0.28,3.78,27.94
10,1.51,0.28,4.20,27.94
11,1.52,0.28,4.62,27.94
12,1.51,0.28,5.03,27.94
13,1.52,0.28,5.45,27.94
14,1.51,0.28,5.87,27.94
15,1.51,0.27,6.28,27.94
16,1.52,0.28,6.70,27.94
17,1.52,0.28,7.12,27.94
18,1.51,0.27,7.54,28.00
19,1.51,0.28,7.95,28.00
20,1.51,0.27,8.37,28.00
21,1.51,0.28,8.78,28.00
22,1.51,0.28,9.20,28.00
23,1.51,0.27,9.61,28.06
24,1.50,0.27,10.02,28.06
25,1.50,0.27,10.44,28.06
26,1.50,0.27,10.85,28.12
27,1.51,0.27,11.26,28.12
28,1.51,0.27,11.68,28.12
29,1.50,0.27,12.09,28.12
30,1.50,0.27,12.50,28.12
31,1.50,0.27,12.91,28.12
32,1.51,0.27,13.32,28.19
33,1.51,0.27,13.74,28.19
34,1.50,0.27,14.15,28.19
35,1.50,0.27,14.55,28.25
36,1.50,0.27,14.96,28.25
37,1.51,0.27,15.38,28.25
38,1.51,0.27,15.79,28.25
39,1.50,0.27,16.20,28.25
40,1.50,0.27,16.61,28.25
41,1.50,0.27,17.02,28.25
42,1.50,0.27,17.43,28.31
43,1.51,0.27,17.84,28.31
44,1.50,0.27,18.25,28.31
45,1.50,0.27,18.66,28.37
46,1.50,0.27,19.07,28.37
47,1.50,0.27,19.48,28.37
48,1.50,0.27,19.89,28.37
49,1.50,0.27,20.30,28.37
50,1.49,0.27,20.71,28.44
51,1.49,0.27,21.11,28.44
52,1.50,0.27,21.52,28.44
53,1.49,0.27,21.93,28.44
54,1.49,0.27,22.33,28.50
55,1.49,0.27,22.74,28.44
56,1.49,0.27,23.14,28.50
57,1.50,0.27,23.55,28.50
58,1.50,0.27,23.96,28.50
59,1.49,0.27,24.37,28.50
60,1.49,0.27,24.77,28.50
61,1.49,0.27,25.18,28.56
62,1.50,0.27,25.59,28.56
63,1.50,0.27,26.00,28.56
64,1.49,0.27,26.40,28.56
65,1.49,0.27,26.80,28.62
66,1.49,0.27,27.21,28.56
67,1.49,0.27,27.61,28.62
68,1.50,0.27,28.02,28.62
69,1.49,0.27,28.42,28.62
70,1.49,0.27,28.82,28.62
71,1.48,0.27,29.22,28.62
72,1.49,0.27,29.63,28.62
73,1.49,0.27,30.03,28.62
74,1.49,0.27,30.44,28.69
75,1.49,0.27,30.84,28.69
76,1.49,0.27,31.25,28.69
77,1.48,0.27,31.65,28.69
78,1.50,0.27,32.06,28.69
79,1.49,0.27,32.46,28.75
80,1.49,0.27,32.86,28.75
81,1.49,0.27,33.27,28.75
82,1.49,0.27,33.67,28.75
83,1.48,0.27,34.07,28.75
84,1.49,0.27,34.48,28.75
85,1.48,0.27,34.88,28.75
86,1.48,0.27,35.28,28.75
87,1.49,0.27,35.68,28.75
88,1.49,0.27,36.09,28.75
89,1.48,0.27,36.49,28.81
90,1.49,0.27,36.89,28.81
91,1.49,0.27,37.30,28.81
92,1.48,0.27,37.70,28.81
93,1.49,0.27,38.10,28.81
94,1.48,0.27,38.50,28.81
95,1.48,0.27,38.90,28.81
96,1.48,0.27,39.30,28.81
97,1.48,0.27,39.70,28.81
98,1.49,0.27,40.10,28.87
99,1.49,0.27,40.51,28.87
100,1.48,0.27,40.91,28.87
101,1.48,0.27,41.31,28.81
102,1.48,0.27,41.71,28.87
103,1.49,0.27,42.11,28.87
104,1.49,0.27,42.51,28.87
105,1.48,0.27,42.91,28.87
106,1.48,0.27,43.31,28.87
107,1.48,0.27,43.71,28.94
108,1.48,0.27,44.11,28.87
109,1.48,0.27,44.51,28.94
110,1.48,0.27,44.91,28.94
111,1.48,0.27,45.31,28.94
112,1.48,0.27,45.71,28.94
113,1.48,0.27,46.10,28.94
114,1.48,0.27,46.50,28.94
115,1.48,0.27,46.90,28.94
116,1.48,0.27,47.30,28.94
117,1.48,0.27,47.70,28.94
118,1.47,0.27,48.10,29.00
119,1.49,0.27,48.50,29.00
120,1.48,0.27,48.90,29.00
121,1.48,0.27,49.30,29.00
122,1.48,0.27,49.70,29.00
123,1.48,0.27,50.10,29.00
124,1.47,0.27,50.49,29.00
125,1.48,0.27,50.90,29.00
126,1.47,0.27,51.29,29.00
127,1.48,0.27,51.69,29.00
128,1.48,0.27,52.09,29.00
129,1.48,0.27,52.49,29.00
130,1.48,0.27,52.89,29.00
131,1.48,0.27,53.29,29.00
132,1.47,0.27,53.68,29.00
133,1.48,0.27,54.08,29.06
134,1.48,0.27,54.48,29.06
135,1.47,0.27,54.87,29.06
136,1.48,0.27,55.27,29.06
137,1.47,0.27,55.67,29.06
138,1.47,0.27,56.06,29.06
139,1.48,0.27,56.46,29.06
140,1.48,0.27,56.86,29.06
141,1.47,0.27,57.25,29.12
142,1.47,0.27,57.65,29.06
143,1.47,0.27,58.04,29.06
144,1.48,0.27,58.44,29.06
145,1.48,0.27,58.84,29.06
146,1.47,0.27,59.23,29.06
147,1.47,0.27,59.63,29.06
148,1.47,0.27,60.03,29.12
149,1.48,0.27,60.42,29.12
150,1.48,0.27,60.82,29.12
151,1.47,0.27,61.22,29.12
152,1.47,0.27,61.61,29.12
153,1.47,0.27,62.00,29.12
154,1.47,0.27,62.40,29.12
155,1.47,0.27,62.80,29.12
156,1.48,0.27,63.19,29.12
157,1.47,0.27,63.59,29.12
158,1.48,0.27,63.98,29.12
159,1.47,0.27,64.38,29.19
160,1.47,0.27,64.77,29.19
161,1.47,0.27,65.17,29.12
162,1.47,0.27,65.56,29.19
163,1.47,0.27,65.96,29.19
164,1.47,0.27,66.35,29.12
165,1.47,0.27,66.74,29.19
166,1.48,0.27,67.14,29.19
167,1.47,0.27,67.53,29.19
168,1.47,0.27,67.93,29.19
169,1.47,0.27,68.32,29.19
170,1.47,0.27,68.72,29.19
171,1.47,0.27,69.11,29.25
172,1.48,0.27,69.51,29.19
173,1.47,0.27,69.90,29.19
174,1.47,0.27,70.30,29.19
175,1.47,0.27,70.69,29.19
176,1.47,0.27,71.08,29.25
177,1.47,0.27,71.48,29.19
178,1.47,0.27,71.87,29.19
179,1.47,0.27,72.26,29.19
180,1.47,0.27,72.66,29.19
181,1.47,0.27,73.05,29.25
182,1.47,0.27,73.44,29.25
183,1.47,0.27,73.84,29.25
184,1.47,0.27,74.23,29.25
185,1.47,0.27,74.62,29.25
186,1.47,0.27,75.02,29.25
187,1.47,0.27,75.41,29.25
188,1.47,0.27,75.81,29.25
189,1.46,0.27,76.20,29.25
190,1.47,0.27,76.59,29.25
191,1.47,0.27,76.99,29.25
192,1.46,0.27,77.38,29.25
193,1.47,0.27,77.77,29.31
194,1.46,0.27,78.16,29.25
195,1.46,0.27,78.55,29.25
196,1.47,0.27,78.94,29.25
197,1.46,0.27,79.33,29.31
198,1.46,0.27,79.72,29.31
199,1.47,0.27,80.12,29.31
200,1.46,0.27,80.50,29.31
201,1.47,0.27,80.90,29.25
202,1.47,0.27,81.29,29.31
203,1.46,0.27,81.68,29.25
204,1.46,0.27,82.07,29.31
205,1.47,0.27,82.46,29.25
206,1.46,0.27,82.85,29.31
207,1.47,0.27,83.25,29.31
208,1.46,0.27,83.64,29.25
209,1.46,0.27,84.03,29.31
210,1.47,0.27,84.42,29.31
211,1.47,0.27,84.81,29.31
212,1.46,0.27,85.20,29.31
213,1.46,0.27,85.59,29.31
214,1.46,0.27,85.98,29.31
215,1.47,0.27,86.38,29.31
