2time,voltage,current,joules,temp
60,1.50,0.27,24.88,28.50
120,1.49,0.27,49.27,29.37
180,1.48,0.27,73.33,30.00
240,1.47,0.27,97.06,30.44
300,1.47,0.27,120.60,30.69
360,1.46,0.26,143.90,30.94
420,1.45,0.26,166.98,31.12
480,1.45,0.26,189.86,31.31
540,1.45,0.26,212.57,31.44
600,1.43,0.26,235.12,31.56
660,1.43,0.26,257.49,31.62
720,1.42,0.26,279.71,31.69
780,1.42,0.26,301.78,31.81
840,1.41,0.26,323.71,31.81
900,1.41,0.26,345.52,31.87
960,1.41,0.26,367.21,32.00
1020,1.41,0.26,388.77,32.00
1080,1.40,0.25,410.25,32.06
1140,1.40,0.25,431.61,32.13
1200,1.39,0.25,452.87,32.13
1260,1.39,0.25,474.00,32.13
1320,1.38,0.25,495.03,32.13
1380,1.38,0.25,515.95,32.19
1440,1.38,0.25,536.78,32.25
1500,1.38,0.25,557.52,32.25
1560,1.37,0.25,578.17,32.25
1620,1.37,0.25,598.76,32.25
1680,1.37,0.25,619.27,32.25
1740,1.37,0.25,639.71,32.31
1800,1.37,0.25,660.06,32.31
1860,1.36,0.25,680.36,32.31
1920,1.36,0.25,700.60,32.31
1980,1.36,0.25,720.76,32.31
2040,1.36,0.25,740.88,32.31
2100,1.35,0.25,760.90,32.31
2160,1.35,0.25,780.91,32.31
2220,1.35,0.25,800.83,32.31
2280,1.35,0.25,820.71,32.31
2340,1.35,0.25,840.57,32.31
2400,1.34,0.24,860.36,32.31
2460,1.34,0.24,880.09,32.31
2520,1.35,0.25,899.81,32.31
2580,1.35,0.25,919.51,32.31
2640,1.33,0.24,939.12,32.31
2700,1.34,0.24,958.70,32.31
2760,1.34,0.24,978.28,32.25
2820,1.34,0.24,997.77,32.25
2880,1.34,0.24,1017.22,32.19
2940,1.33,0.24,1036.65,32.19
3000,1.33,0.24,1056.00,32.19
3060,1.33,0.24,1075.31,32.19
3120,1.33,0.24,1094.61,32.13
3180,1.33,0.24,1113.90,32.13
3240,1.33,0.24,1133.08,32.06
3300,1.33,0.24,1152.26,32.06
3360,1.33,0.24,1171.42,32.06
3420,1.33,0.24,1190.56,32.00
3480,1.32,0.24,1209.62,31.94
3540,1.32,0.24,1228.65,31.94
3600,1.32,0.24,1247.67,31.94
3660,1.32,0.24,1266.65,31.87
3720,1.31,0.24,1285.57,31.87
3780,1.32,0.24,1304.46,31.81
3840,1.32,0.24,1323.33,31.75
3900,1.31,0.24,1342.18,31.81
3960,1.31,0.24,1360.93,31.75
4020,1.31,0.24,1379.68,31.69
4080,1.31,0.24,1398.42,31.69
4140,1.31,0.24,1417.13,31.62
4200,1.31,0.24,1435.77,31.62
4260,1.30,0.24,1454.39,31.56
4320,1.30,0.24,1472.98,31.50
4380,1.31,0.24,1491.57,31.50
4440,1.30,0.24,1510.13,31.44
4500,1.30,0.24,1528.63,31.44
4560,1.30,0.24,1547.10,31.37
4620,1.30,0.24,1565.57,31.37
4680,1.30,0.24,1584.03,31.31
4740,1.29,0.24,1602.47,31.25
4800,1.29,0.24,1620.82,31.25
4860,1.29,0.24,1639.15,31.19
4920,1.29,0.24,1657.46,31.19
4980,1.29,0.24,1675.72,31.12
5040,1.29,0.23,1693.94,31.06
5100,1.29,0.23,1712.12,31.06
5160,1.29,0.23,1730.29,31.00
5220,1.28,0.23,1748.43,30.94
5280,1.28,0.23,1766.51,30.87
5340,1.28,0.23,1784.57,30.87
5400,1.28,0.23,1802.61,30.81
5460,1.28,0.23,1820.64,30.81
5520,1.28,0.23,1838.64,30.75
5580,1.28,0.23,1856.59,30.75
5640,1.27,0.23,1874.50,30.69
5700,1.28,0.23,1892.40,30.69
5760,1.27,0.23,1910.29,30.62
5820,1.27,0.23,1928.11,30.62
5880,1.28,0.23,1945.90,30.56
5940,1.27,0.23,1963.67,30.50
6000,1.27,0.23,1981.44,30.50
6060,1.27,0.23,1999.18,30.44
6120,1.27,0.23,2016.90,30.44
6180,1.27,0.23,2034.56,30.37
6240,1.27,0.23,2052.23,30.37
6300,1.27,0.23,2069.87,30.31
6360,1.27,0.23,2087.51,30.31
6420,1.27,0.23,2105.12,30.25
6480,1.27,0.23,2122.66,30.19
6540,1.26,0.23,2140.17,30.25
6600,1.27,0.23,2157.68,30.19
6660,1.27,0.23,2175.19,30.12
6720,1.26,0.23,2192.67,30.12
6780,1.26,0.23,2210.10,30.06
6840,1.26,0.23,2227.50,30.06
6900,1.26,0.23,2244.88,30.00
6960,1.26,0.23,2262.24,30.00
7020,1.25,0.23,2279.57,29.94
7080,1.26,0.23,2296.87,29.94
7140,1.26,0.23,2314.14,29.87
7200,1.26,0.23,2331.39,29.87
7260,1.25,0.23,2348.63,29.81
7320,1.25,0.23,2365.83,29.81
7380,1.25,0.23,2382.99,29.81
7440,1.25,0.23,2400.12,29.75
7500,1.25,0.23,2417.24,29.75
7560,1.25,0.23,2434.35,29.69
7620,1.25,0.23,2451.44,29.62
7680,1.25,0.23,2468.53,29.62
7740,1.25,0.23,2485.58,29.56
7800,1.25,0.23,2502.57,29.56
7860,1.25,0.23,2519.56,29.56
7920,1.25,0.23,2536.52,29.50
7980,1.25,0.23,2553.50,29.50
8040,1.25,0.23,2570.46,29.44
8100,1.25,0.23,2587.42,29.44
8160,1.25,0.23,2604.33,29.37
8220,1.25,0.23,2621.21,29.37
8280,1.24,0.23,2638.07,29.37
8340,1.24,0.23,2654.92,29.31
8400,1.24,0.23,2671.75,29.25
8460,1.25,0.23,2688.59,29.25
8520,1.24,0.23,2705.42,29.19
8580,1.24,0.22,2722.17,29.19
8640,1.24,0.23,2738.90,29.19
8700,1.24,0.23,2755.63,29.12
8760,1.23,0.22,2772.32,29.19
8820,1.24,0.22,2789.00,29.12
8880,1.23,0.22,2805.62,29.06
8940,1.24,0.22,2822.22,29.06
9000,1.23,0.22,2838.79,29.06
9060,1.23,0.22,2855.37,29.00
9120,1.23,0.22,2871.95,29.00
9180,1.23,0.22,2888.48,28.94
9240,1.23,0.22,2904.96,28.87
9300,1.23,0.22,2921.43,28.87
9360,1.23,0.22,2937.89,28.87
9420,1.23,0.22,2954.34,28.87
9480,1.23,0.22,2970.77,28.81
9540,1.23,0.22,2987.20,28.75
9600,1.22,0.22,3003.58,28.75
9660,1.22,0.22,3019.92,28.75
9720,1.22,0.22,3036.24,28.69
9780,1.22,0.22,3052.55,28.69
9840,1.22,0.22,3068.87,28.69
9900,1.22,0.22,3085.17,28.62
9960,1.22,0.22,3101.46,28.62
10020,1.22,0.22,3117.70,28.56
10080,1.22,0.22,3133.91,28.56
10140,1.22,0.22,3150.08,28.56
10200,1.22,0.22,3166.27,28.50
10260,1.21,0.22,3182.43,28.50
10320,1.21,0.22,3198.56,28.50
10380,1.22,0.22,3214.67,28.44
10440,1.22,0.22,3230.74,28.44
10500,1.22,0.22,3246.80,28.37
10560,1.21,0.22,3262.86,28.37
10620,1.21,0.22,3278.89,28.37
10680,1.21,0.22,3294.91,28.31
10740,1.21,0.22,3310.88,28.31
10800,1.21,0.22,3326.81,28.31
10860,1.21,0.22,3342.75,28.25
10920,1.21,0.22,3358.67,28.25
10980,1.21,0.22,3374.58,28.25
11040,1.21,0.22,3390.49,28.19
11100,1.20,0.22,3406.37,28.19
11160,1.21,0.22,3422.20,28.19
11220,1.21,0.22,3438.00,28.12
11280,1.21,0.22,3453.80,28.12
11340,1.20,0.22,3469.60,28.12
11400,1.21,0.22,3485.37,28.06
11460,1.20,0.22,3501.13,28.06
11520,1.20,0.22,3516.83,28.00
11580,1.20,0.22,3532.53,28.06
11640,1.20,0.22,3548.21,28.00
11700,1.20,0.22,3563.89,27.94
11760,1.20,0.22,3579.55,27.94
11820,1.20,0.22,3595.21,27.94
11880,1.20,0.22,3610.86,27.87
11940,1.20,0.22,3626.42,27.87
12000,1.20,0.22,3641.97,27.87
12060,1.20,0.22,3657.53,27.81
12120,1.19,0.22,3673.05,27.81
12180,1.19,0.22,3688.55,27.81
12240,1.19,0.22,3703.98,27.75
12300,1.19,0.22,3719.42,27.75
12360,1.19,0.22,3734.82,27.75
12420,1.19,0.22,3750.23,27.69
12480,1.19,0.22,3765.62,27.69
12540,1.19,0.22,3781.00,27.69
12600,1.18,0.21,3796.32,27.62
12660,1.18,0.21,3811.63,27.62
12720,1.18,0.21,3826.91,27.62
12780,1.19,0.22,3842.20,27.62
12840,1.18,0.21,3857.46,27.62
12900,1.18,0.21,3872.69,27.56
12960,1.18,0.21,3887.88,27.56
13020,1.18,0.21,3903.06,27.56
13080,1.18,0.21,3918.22,27.50
13140,1.18,0.21,3933.37,27.50
13200,1.18,0.21,3948.53,27.44
13260,1.18,0.21,3963.66,27.44
13320,1.18,0.21,3978.77,27.44
13380,1.17,0.21,3993.84,27.37
13440,1.17,0.21,4008.89,27.44
13500,1.17,0.21,4023.93,27.37
13560,1.17,0.21,4038.95,27.37
13620,1.17,0.21,4053.97,27.31
13680,1.17,0.21,4068.93,27.31
13740,1.17,0.21,4083.86,27.31
13800,1.16,0.21,4098.76,27.31
13860,1.17,0.21,4113.65,27.25
13920,1.17,0.21,4128.55,27.25
13980,1.17,0.21,4143.42,27.25
14040,1.17,0.21,4158.24,27.19
14100,1.17,0.21,4173.04,27.19
14160,1.16,0.21,4187.83,27.19
14220,1.16,0.21,4202.60,27.19
14280,1.16,0.21,4217.37,27.12
14340,1.15,0.21,4232.11,27.12
14400,1.16,0.21,4246.80,27.06
14460,1.16,0.21,4261.47,27.12
14520,1.16,0.21,4276.15,27.06
14580,1.16,0.21,4290.80,27.06
14640,1.16,0.21,4305.43,27.06
14700,1.15,0.21,4320.02,27.00
14760,1.16,0.21,4334.57,27.00
14820,1.16,0.21,4349.12,27.00
14880,1.15,0.21,4363.65,26.94
14940,1.15,0.21,4378.16,26.94
15000,1.15,0.21,4392.60,26.94
15060,1.15,0.21,4407.03,26.87
15120,1.15,0.21,4421.43,26.87
15180,1.15,0.21,4435.84,26.87
15240,1.15,0.21,4450.24,26.81
15300,1.15,0.21,4464.63,26.81
15360,1.15,0.21,4478.99,26.81
15420,1.15,0.21,4493.31,26.81
15480,1.15,0.21,4507.62,26.81
15540,1.15,0.21,4521.92,26.75
15600,1.15,0.21,4536.20,26.75
15660,1.14,0.21,4550.47,26.75
15720,1.14,0.21,4564.70,26.69
15780,1.14,0.21,4578.89,26.69
15840,1.14,0.21,4593.06,26.69
15900,1.14,0.21,4607.22,26.69
15960,1.14,0.21,4621.36,26.69
16020,1.14,0.21,4635.45,26.62
16080,1.14,0.21,4649.52,26.62
16140,1.14,0.21,4663.60,26.62
16200,1.13,0.21,4677.65,26.62
16260,1.13,0.21,4691.70,26.56
16320,1.14,0.21,4705.71,26.56
16380,1.14,0.21,4719.68,26.56
16440,1.13,0.21,4733.63,26.50
16500,1.13,0.21,4747.57,26.56
16560,1.13,0.21,4761.49,26.50
16620,1.13,0.21,4775.39,26.50
16680,1.13,0.21,4789.24,26.44
16740,1.12,0.20,4803.08,26.44
16800,1.12,0.20,4816.89,26.44
16860,1.13,0.21,4830.70,26.44
16920,1.12,0.20,4844.48,26.37
16980,1.12,0.20,4858.26,26.37
17040,1.12,0.20,4871.98,26.37
17100,1.12,0.20,4885.68,26.37
17160,1.12,0.20,4899.37,26.31
17220,1.12,0.20,4913.07,26.31
17280,1.11,0.20,4926.73,26.31
17340,1.11,0.20,4940.34,26.31
17400,1.11,0.20,4953.93,26.31
17460,1.11,0.20,4967.50,26.25
17520,1.11,0.20,4981.06,26.25
17580,1.11,0.20,4994.56,26.25
17640,1.11,0.20,5008.02,26.25
17700,1.11,0.20,5021.48,26.19
17760,1.11,0.20,5034.93,26.19
17820,1.11,0.20,5048.37,26.19
17880,1.10,0.20,5061.75,26.19
17940,1.10,0.20,5075.09,26.12
18000,1.10,0.20,5088.42,26.12
18060,1.10,0.20,5101.72,26.12
18120,1.10,0.20,5115.00,26.12
18180,1.10,0.20,5128.24,26.12
18240,1.10,0.20,5141.46,26.06
18300,1.10,0.20,5154.65,26.06
18360,1.10,0.20,5167.85,26.06
18420,1.09,0.20,5180.98,26.00
18480,1.09,0.20,5194.09,26.00
18540,1.09,0.20,5207.18,26.00
18600,1.10,0.20,5220.27,26.00
18660,1.09,0.20,5233.32,25.94
18720,1.09,0.20,5246.31,25.94
18780,1.09,0.20,5259.29,25.94
18840,1.09,0.20,5272.27,25.94
18900,1.09,0.20,5285.24,25.87
18960,1.08,0.20,5298.16,25.87
19020,1.09,0.20,5311.04,25.87
19080,1.09,0.20,5323.92,25.87
19140,1.09,0.20,5336.77,25.81
19200,1.09,0.20,5349.59,25.81
19260,1.08,0.20,5362.37,25.81
19320,1.08,0.20,5375.14,25.75
19380,1.08,0.20,5387.86,25.75
19440,1.08,0.20,5400.53,25.75
19500,1.07,0.20,5413.17,25.75
19560,1.07,0.20,5425.78,25.69
19620,1.07,0.20,5438.34,25.69
19680,1.07,0.20,5450.88,25.69
19740,1.07,0.19,5463.39,25.62
19800,1.06,0.19,5475.85,25.62
19860,1.07,0.19,5488.28,25.62
19920,1.07,0.19,5500.68,25.56
19980,1.07,0.19,5513.03,25.56
20040,1.06,0.19,5525.34,25.56
20100,1.06,0.19,5537.61,25.56
20160,1.06,0.19,5549.83,25.50
20220,1.06,0.19,5562.04,25.50
20280,1.05,0.19,5574.20,25.44
20340,1.05,0.19,5586.31,25.44
20400,1.05,0.19,5598.37,25.44
20460,1.05,0.19,5610.41,25.44
20520,1.04,0.19,5622.40,25.37
20580,1.04,0.19,5634.37,25.37
20640,1.04,0.19,5646.30,25.37
20700,1.04,0.19,5658.18,25.37
20760,1.04,0.19,5670.01,25.31
20820,1.04,0.19,5681.78,25.31
20880,1.03,0.19,5693.48,25.31
20940,1.04,0.19,5705.13,25.25
21000,1.03,0.19,5716.72,25.25
21060,1.03,0.19,5728.26,25.25
21120,1.03,0.19,5739.75,25.25
21180,1.02,0.19,5751.18,25.19
21240,1.02,0.18,5762.56,25.12
21300,1.02,0.18,5773.86,25.12
21360,1.01,0.18,5785.12,25.12
21420,1.01,0.18,5796.30,25.12
21480,1.01,0.18,5807.41,25.06
21540,1.00,0.18,5818.46,25.06
21600,1.00,0.18,5829.42,25.00
21660,1.00,0.18,5840.29,25.00
21720,0.99,0.18,5851.07,25.00
21780,0.99,0.18,5861.76,24.94
21840,0.98,0.18,5872.36,24.94
21900,0.98,0.18,5882.87,24.87
21960,0.97,0.18,5893.25,24.87
22020,0.97,0.18,5903.51,24.87
22080,0.96,0.17,5913.63,24.81
22140,0.95,0.17,5923.59,24.81
22200,0.94,0.17,5933.33,24.75
22260,0.93,0.17,5942.80,24.69
22320,0.90,0.16,5951.94,24.62
22380,0.87,0.16,5960.61,24.56
22440,0.83,0.15,5968.56,24.50
22500,0.76,0.14,5975.54,24.37
22560,0.66,0.12,5981.17,24.25
22620,0.54,0.10,5985.13,24.06
22680,0.43,0.08,5987.70,23.81
22740,0.37,0.07,5989.40,23.62
22800,0.34,0.06,5990.75,23.44
22860,0.34,0.06,5992.00,23.31
22920,0.33,0.06,5993.22,23.19
22980,0.34,0.06,5994.44,23.06
23040,0.33,0.06,5995.65,23.00
23100,0.33,0.06,5996.87,22.94
23160,0.34,0.06,5998.09,22.87
23220,0.34,0.06,5999.31,22.81
23280,0.33,0.06,6000.53,22.75
23340,0.33,0.06,6001.73,22.69
23400,0.33,0.06,6002.92,22.69
23460,0.33,0.06,6004.09,22.62
23520,0.32,0.06,6005.24,22.56
23580,0.31,0.06,6006.35,22.50
23640,0.31,0.06,6007.41,22.44
23700,0.30,0.06,6008.44,22.44
23760,0.30,0.05,6009.43,22.37
23820,0.29,0.05,6010.38,22.37
23880,0.29,0.05,6011.30,22.37
23940,0.28,0.05,6012.18,22.31
24000,0.28,0.05,6013.03,22.25
24060,0.27,0.05,6013.84,22.25
24120,0.26,0.05,6014.62,22.19
24180,0.26,0.05,6015.36,22.19
24240,0.25,0.05,6016.08,22.12
24300,0.25,0.05,6016.76,22.12
