2time,voltage,current,joules,temp
1,1.52,0.28,0.42,27.19
2,1.51,0.28,0.84,27.19
3,1.52,0.28,1.26,27.25
4,1.52,0.28,1.68,27.25
5,1.52,0.28,2.10,27.25
6,1.52,0.28,2.52,27.31
7,1.51,0.28,2.93,27.31
8,1.51,0.28,3.35,27.31
9,1.52,0.28,3.77,27.31
10,1.51,0.27,4.18,27.31
11,1.52,0.28,4.60,27.31
12,1.51,0.28,5.02,27.37
13,1.51,0.28,5.43,27.37
14,1.52,0.28,5.85,27.37
15,1.52,0.28,6.27,27.44
16,1.51,0.28,6.69,27.44
17,1.51,0.28,7.11,27.44
18,1.51,0.28,7.52,27.50
19,1.52,0.28,7.94,27.50
20,1.52,0.28,8.36,27.50
21,1.51,0.27,8.78,27.56
22,1.51,0.27,9.19,27.56
23,1.51,0.27,9.60,27.62
24,1.51,0.27,10.02,27.62
25,1.51,0.28,10.43,27.62
26,1.51,0.28,10.85,27.69
27,1.51,0.27,11.26,27.69
28,1.50,0.27,11.68,27.69
29,1.51,0.27,12.09,27.75
30,1.52,0.28,12.51,27.75
31,1.51,0.28,12.92,27.81
32,1.51,0.27,13.34,27.81
33,1.51,0.27,13.75,27.87
34,1.51,0.27,14.17,27.87
35,1.51,0.28,14.58,27.87
36,1.51,0.28,15.00,27.94
37,1.50,0.27,15.41,27.94
38,1.50,0.27,15.82,28.00
39,1.51,0.27,16.24,28.00
40,1.50,0.27,16.65,28.00
41,1.51,0.28,17.06,28.06
42,1.51,0.27,17.48,28.06
43,1.50,0.27,17.89,28.12
44,1.51,0.27,18.30,28.12
45,1.51,0.27,18.72,28.12
46,1.50,0.27,19.13,28.12
47,1.51,0.27,19.54,28.19
48,1.50,0.27,19.95,28.25
49,1.50,0.27,20.36,28.25
50,1.51,0.27,20.78,28.31
51,1.50,0.27,21.19,28.25
52,1.50,0.27,21.60,28.31
53,1.50,0.27,22.01,28.31
54,1.50,0.27,22.42,28.37
55,1.50,0.27,22.83,28.37
56,1.50,0.27,23.24,28.37
57,1.50,0.27,23.65,28.37
58,1.50,0.27,24.06,28.44
59,1.50,0.27,24.47,28.44
60,1.50,0.27,24.88,28.50
61,1.50,0.27,25.29,28.50
62,1.50,0.27,25.70,28.50
63,1.50,0.27,26.11,28.56
64,1.50,0.27,26.52,28.56
65,1.50,0.27,26.93,28.56
66,1.50,0.27,27.34,28.62
67,1.50,0.27,27.75,28.62
68,1.50,0.27,28.15,28.62
69,1.49,0.27,28.56,28.62
70,1.50,0.27,28.97,28.69
71,1.50,0.27,29.38,28.69
72,1.50,0.27,29.79,28.69
73,1.50,0.27,30.20,28.69
74,1.49,0.27,30.61,28.75
75,1.49,0.27,31.01,28.75
76,1.50,0.27,31.42,28.75
77,1.50,0.27,31.83,28.75
78,1.49,0.27,32.24,28.81
79,1.50,0.27,32.65,28.81
80,1.50,0.27,33.05,28.87
81,1.49,0.27,33.46,28.87
82,1.50,0.27,33.87,28.87
83,1.49,0.27,34.28,28.87
84,1.49,0.27,34.68,28.94
85,1.50,0.27,35.09,28.94
86,1.50,0.27,35.50,28.94
87,1.49,0.27,35.91,28.94
88,1.50,0.27,36.31,28.94
89,1.49,0.27,36.72,29.00
90,1.49,0.27,37.13,29.00
91,1.50,0.27,37.53,29.00
92,1.49,0.27,37.94,29.06
93,1.49,0.27,38.35,29.06
94,1.49,0.27,38.75,29.06
95,1.49,0.27,39.16,29.06
96,1.50,0.27,39.56,29.06
97,1.50,0.27,39.97,29.12
98,1.49,0.27,40.38,29.12
99,1.49,0.27,40.78,29.12
100,1.49,0.27,41.18,29.12
101,1.49,0.27,41.59,29.19
102,1.49,0.27,41.99,29.19
103,1.49,0.27,42.40,29.19
104,1.49,0.27,42.80,29.19
105,1.49,0.27,43.20,29.19
106,1.49,0.27,43.61,29.25
107,1.49,0.27,44.01,29.25
108,1.49,0.27,44.42,29.25
109,1.49,0.27,44.82,29.25
110,1.48,0.27,45.22,29.31
111,1.49,0.27,45.62,29.31
112,1.49,0.27,46.03,29.31
113,1.50,0.27,46.44,29.31
114,1.49,0.27,46.84,29.31
115,1.49,0.27,47.25,29.31
116,1.48,0.27,47.65,29.37
117,1.50,0.27,48.06,29.37
118,1.49,0.27,48.46,29.37
119,1.49,0.27,48.87,29.37
120,1.49,0.27,49.27,29.37
121,1.49,0.27,49.67,29.44
122,1.48,0.27,50.07,29.44
123,1.49,0.27,50.48,29.44
124,1.48,0.27,50.88,29.44
125,1.49,0.27,51.28,29.44
126,1.49,0.27,51.69,29.44
127,1.49,0.27,52.09,29.50
128,1.48,0.27,52.49,29.50
129,1.49,0.27,52.90,29.50
130,1.48,0.27,53.30,29.50
131,1.49,0.27,53.70,29.56
132,1.49,0.27,54.10,29.56
133,1.48,0.27,54.50,29.56
134,1.48,0.27,54.90,29.56
135,1.48,0.27,55.30,29.56
136,1.48,0.27,55.70,29.56
137,1.49,0.27,56.11,29.62
138,1.49,0.27,56.51,29.56
139,1.48,0.27,56.91,29.62
140,1.48,0.27,57.32,29.62
141,1.48,0.27,57.72,29.62
142,1.49,0.27,58.12,29.62
143,1.49,0.27,58.53,29.62
144,1.48,0.27,58.93,29.62
145,1.48,0.27,59.33,29.69
146,1.48,0.27,59.73,29.69
147,1.49,0.27,60.13,29.69
148,1.49,0.27,60.53,29.69
149,1.48,0.27,60.93,29.69
150,1.48,0.27,61.33,29.69
151,1.48,0.27,61.73,29.75
152,1.48,0.27,62.13,29.75
153,1.49,0.27,62.53,29.75
154,1.49,0.27,62.94,29.75
155,1.48,0.27,63.34,29.75
156,1.49,0.27,63.74,29.75
157,1.48,0.27,64.14,29.81
158,1.49,0.27,64.54,29.81
159,1.48,0.27,64.94,29.81
160,1.48,0.27,65.34,29.81
161,1.48,0.27,65.74,29.81
162,1.49,0.27,66.14,29.81
163,1.48,0.27,66.54,29.81
164,1.49,0.27,66.94,29.87
165,1.48,0.27,67.34,29.87
166,1.48,0.27,67.74,29.87
167,1.48,0.27,68.14,29.87
168,1.48,0.27,68.54,29.87
169,1.48,0.27,68.94,29.87
170,1.49,0.27,69.34,29.94
171,1.48,0.27,69.74,29.94
172,1.48,0.27,70.14,29.94
173,1.48,0.27,70.54,29.94
174,1.48,0.27,70.94,29.94
175,1.48,0.27,71.33,29.94
176,1.48,0.27,71.73,29.94
177,1.48,0.27,72.13,29.94
178,1.48,0.27,72.53,29.94
179,1.48,0.27,72.93,30.00
180,1.48,0.27,73.33,30.00
181,1.48,0.27,73.72,30.00
182,1.48,0.27,74.12,30.00
183,1.48,0.27,74.52,30.00
184,1.48,0.27,74.92,30.00
185,1.47,0.27,75.32,30.06
186,1.48,0.27,75.72,30.06
187,1.47,0.27,76.11,30.06
188,1.48,0.27,76.51,30.06
189,1.48,0.27,76.91,30.06
190,1.47,0.27,77.30,30.06
191,1.47,0.27,77.70,30.06
192,1.47,0.27,78.09,30.06
193,1.47,0.27,78.49,30.12
194,1.48,0.27,78.89,30.12
195,1.47,0.27,79.28,30.12
196,1.47,0.27,79.68,30.12
197,1.48,0.27,80.07,30.12
198,1.47,0.27,80.47,30.12
199,1.48,0.27,80.86,30.19
200,1.48,0.27,81.26,30.12
201,1.47,0.27,81.66,30.12
202,1.47,0.27,82.05,30.12
203,1.48,0.27,82.45,30.19
204,1.47,0.27,82.85,30.19
205,1.48,0.27,83.25,30.19
206,1.47,0.27,83.64,30.19
207,1.47,0.27,84.04,30.19
208,1.48,0.27,84.44,30.19
209,1.48,0.27,84.83,30.25
210,1.47,0.27,85.23,30.19
211,1.47,0.27,85.62,30.25
212,1.47,0.27,86.02,30.25
