time,voltage,current,joules,temp
60,1.50,0.27,25.02,27.25
120,1.49,0.27,49.42,28.25
180,1.48,0.27,73.47,28.87
240,1.46,0.27,97.19,29.31
300,1.46,0.27,120.67,29.62
360,1.46,0.26,143.92,29.87
420,1.45,0.26,166.99,30.06
480,1.45,0.26,189.86,30.25
540,1.44,0.26,212.58,30.37
600,1.44,0.26,235.14,30.50
660,1.43,0.26,257.54,30.62
720,1.43,0.26,279.79,30.69
780,1.42,0.26,301.91,30.75
840,1.42,0.26,323.89,30.81
900,1.41,0.26,345.75,30.87
960,1.41,0.26,367.50,30.87
1020,1.41,0.26,389.13,31.00
1080,1.40,0.25,410.64,31.00
1140,1.40,0.25,432.04,31.06
1200,1.40,0.25,453.35,31.12
1260,1.40,0.25,474.54,31.12
1320,1.39,0.25,495.63,31.19
1380,1.38,0.25,516.64,31.19
1440,1.39,0.25,537.55,31.25
1500,1.38,0.25,558.36,31.25
1560,1.38,0.25,579.10,31.31
1620,1.38,0.25,599.75,31.31
1680,1.37,0.25,620.33,31.37
1740,1.37,0.25,640.79,31.37
1800,1.37,0.25,661.20,31.44
1860,1.36,0.25,681.52,31.44
1920,1.36,0.25,701.77,31.50
1980,1.36,0.25,721.92,31.56
2040,1.36,0.25,742.01,31.56
2100,1.36,0.25,762.02,31.56
2160,1.35,0.25,781.97,31.56
2220,1.35,0.25,801.85,31.62
2280,1.35,0.25,821.68,31.62
2340,1.35,0.25,841.42,31.69
2400,1.34,0.24,861.08,31.69
2460,1.34,0.24,880.67,31.69
2520,1.34,0.24,900.21,31.69
2580,1.34,0.24,919.67,31.75
2640,1.33,0.24,939.08,31.75
2700,1.33,0.24,958.41,31.75
2760,1.34,0.24,977.70,31.75
2820,1.33,0.24,996.94,31.75
2880,1.32,0.24,1016.10,31.75
2940,1.32,0.24,1035.19,31.81
3000,1.32,0.24,1054.21,31.81
3060,1.32,0.24,1073.22,31.75
3120,1.31,0.24,1092.15,31.75
3180,1.31,0.24,1111.03,31.75
3240,1.31,0.24,1129.88,31.81
3300,1.32,0.24,1148.65,31.75
3360,1.31,0.24,1167.39,31.81
3420,1.31,0.24,1186.10,31.81
3480,1.30,0.24,1204.73,31.81
3540,1.30,0.24,1223.34,31.81
3600,1.30,0.24,1241.92,31.81
3660,1.30,0.24,1260.46,31.81
3720,1.30,0.24,1278.94,31.81
3780,1.30,0.24,1297.40,31.75
3840,1.30,0.24,1315.85,31.81
3900,1.30,0.24,1334.25,31.75
3960,1.29,0.24,1352.58,31.75
4020,1.29,0.24,1370.90,31.75
4080,1.29,0.24,1389.19,31.75
4140,1.29,0.24,1407.47,31.75
4200,1.29,0.23,1425.67,31.75
4260,1.29,0.23,1443.88,31.75
4320,1.28,0.23,1462.04,31.75
4380,1.29,0.23,1480.22,31.69
4440,1.28,0.23,1498.34,31.75
4500,1.28,0.23,1516.41,31.69
4560,1.29,0.23,1534.45,31.69
4620,1.28,0.23,1552.49,31.69
4680,1.28,0.23,1570.46,31.69
4740,1.28,0.23,1588.39,31.69
4800,1.28,0.23,1606.31,31.69
4860,1.28,0.23,1624.21,31.69
4920,1.27,0.23,1642.06,31.62
4980,1.27,0.23,1659.87,31.62
5040,1.28,0.23,1677.66,31.62
5100,1.28,0.23,1695.43,31.56
5160,1.27,0.23,1713.18,31.56
5220,1.27,0.23,1730.89,31.56
5280,1.27,0.23,1748.55,31.56
5340,1.27,0.23,1766.19,31.56
5400,1.27,0.23,1783.83,31.50
5460,1.26,0.23,1801.44,31.50
5520,1.27,0.23,1819.01,31.44
5580,1.27,0.23,1836.53,31.44
5640,1.27,0.23,1854.04,31.44
5700,1.26,0.23,1871.53,31.44
5760,1.26,0.23,1889.01,31.37
5820,1.26,0.23,1906.41,31.37
5880,1.26,0.23,1923.80,31.31
5940,1.26,0.23,1941.17,31.31
