time,voltage,current,joules,temp
1,1.54,0.28,0.43,26.00
2,1.54,0.28,0.86,26.00
3,1.53,0.28,1.28,26.00
4,1.53,0.28,1.71,26.06
5,1.53,0.28,2.14,26.06
6,1.53,0.28,2.56,26.06
7,1.53,0.28,2.99,26.06
8,1.52,0.28,3.41,26.06
9,1.52,0.28,3.83,26.06
10,1.53,0.28,4.26,26.12
11,1.52,0.28,4.67,26.12
12,1.52,0.28,5.10,26.19
13,1.52,0.28,5.52,26.19
14,1.52,0.28,5.93,26.19
15,1.52,0.28,6.36,26.19
16,1.52,0.28,6.78,26.25
17,1.51,0.28,7.20,26.25
18,1.52,0.28,7.61,26.25
19,1.51,0.28,8.03,26.31
20,1.52,0.28,8.45,26.31
21,1.52,0.28,8.87,26.31
22,1.51,0.28,9.29,26.37
23,1.51,0.28,9.71,26.37
24,1.51,0.28,10.12,26.44
25,1.51,0.28,10.54,26.44
26,1.52,0.28,10.96,26.44
27,1.52,0.28,11.38,26.50
28,1.51,0.27,11.79,26.50
29,1.51,0.27,12.21,26.56
30,1.51,0.27,12.62,26.56
31,1.52,0.28,13.04,26.56
32,1.51,0.28,13.45,26.62
33,1.51,0.27,13.87,26.62
34,1.51,0.27,14.28,26.69
35,1.51,0.27,14.70,26.69
36,1.52,0.28,15.12,26.75
37,1.51,0.28,15.53,26.75
38,1.51,0.27,15.95,26.75
39,1.51,0.27,16.36,26.81
40,1.51,0.27,16.77,26.81
41,1.50,0.27,17.19,26.87
42,1.51,0.28,17.60,26.87
43,1.51,0.28,18.02,26.87
44,1.50,0.27,18.43,26.94
45,1.51,0.27,18.84,26.94
46,1.51,0.27,19.26,27.00
47,1.50,0.27,19.67,27.00
48,1.51,0.27,20.08,27.00
49,1.50,0.27,20.49,27.06
50,1.50,0.27,20.91,27.06
51,1.51,0.27,21.32,27.06
52,1.50,0.27,21.73,27.12
53,1.50,0.27,22.14,27.12
54,1.50,0.27,22.55,27.12
55,1.50,0.27,22.96,27.19
56,1.51,0.27,23.38,27.19
57,1.50,0.27,23.79,27.25
58,1.50,0.27,24.20,27.25
59,1.50,0.27,24.61,27.25
60,1.50,0.27,25.02,27.25
61,1.50,0.27,25.43,27.31
62,1.51,0.27,25.84,27.31
63,1.50,0.27,26.25,27.31
64,1.50,0.27,26.66,27.37
65,1.50,0.27,27.07,27.37
66,1.50,0.27,27.48,27.37
67,1.50,0.27,27.89,27.44
68,1.50,0.27,28.30,27.44
69,1.50,0.27,28.71,27.44
70,1.50,0.27,29.11,27.50
71,1.50,0.27,29.52,27.50
72,1.50,0.27,29.93,27.50
73,1.50,0.27,30.34,27.56
74,1.50,0.27,30.75,27.56
75,1.49,0.27,31.16,27.56
76,1.49,0.27,31.57,27.56
77,1.50,0.27,31.98,27.62
78,1.50,0.27,32.39,27.62
79,1.49,0.27,32.79,27.62
80,1.49,0.27,33.20,27.69
81,1.50,0.27,33.61,27.69
82,1.49,0.27,34.01,27.69
83,1.51,0.27,34.43,27.69
84,1.49,0.27,34.83,27.75
85,1.49,0.27,35.24,27.75
86,1.50,0.27,35.65,27.75
87,1.49,0.27,36.05,27.75
88,1.49,0.27,36.46,27.75
89,1.50,0.27,36.87,27.81
90,1.49,0.27,37.27,27.81
91,1.49,0.27,37.68,27.81
92,1.50,0.27,38.09,27.87
93,1.49,0.27,38.49,27.87
94,1.49,0.27,38.90,27.87
95,1.49,0.27,39.31,27.87
96,1.49,0.27,39.71,27.94
97,1.49,0.27,40.12,27.94
98,1.50,0.27,40.53,27.94
99,1.49,0.27,40.93,27.94
100,1.49,0.27,41.34,27.94
101,1.49,0.27,41.74,28.00
102,1.49,0.27,42.15,28.00
103,1.49,0.27,42.55,28.00
104,1.49,0.27,42.96,28.00
105,1.49,0.27,43.36,28.06
106,1.49,0.27,43.76,28.06
