time,voltage,current,joules,temp
60,1.50,0.27,25.07,21.81
120,1.48,0.27,49.39,22.81
180,1.47,0.27,73.30,23.50
240,1.46,0.27,96.89,23.94
300,1.46,0.27,120.21,24.31
360,1.46,0.26,143.30,24.62
420,1.44,0.26,166.19,24.81
480,1.44,0.26,188.85,25.00
540,1.44,0.26,211.36,25.19
600,1.43,0.26,233.69,25.31
660,1.42,0.26,255.87,25.44
720,1.42,0.26,277.92,25.56
780,1.42,0.26,299.84,25.62
840,1.42,0.26,321.61,25.69
900,1.41,0.26,343.25,25.75
960,1.40,0.25,364.76,25.81
1020,1.40,0.25,386.14,25.87
1080,1.40,0.25,407.42,25.94
1140,1.40,0.25,428.59,26.00
1200,1.38,0.25,449.64,26.00
1260,1.39,0.25,470.60,26.06
1320,1.38,0.25,491.47,26.06
1380,1.38,0.25,512.21,26.12
1440,1.38,0.25,532.87,26.12
1500,1.37,0.25,553.47,26.19
1560,1.37,0.25,573.95,26.19
1620,1.37,0.25,594.34,26.19
1680,1.37,0.25,614.66,26.19
1740,1.36,0.25,634.87,26.25
1800,1.36,0.25,655.03,26.25
1860,1.36,0.25,675.07,26.25
1920,1.35,0.25,695.06,26.31
1980,1.35,0.25,714.93,26.31
2040,1.35,0.25,734.76,26.31
2100,1.35,0.25,754.50,26.31
2160,1.34,0.24,774.15,26.31
2220,1.34,0.24,793.74,26.31
2280,1.33,0.24,813.26,26.31
2340,1.34,0.24,832.69,26.31
2400,1.34,0.24,852.09,26.31
2460,1.33,0.24,871.41,26.31
2520,1.33,0.24,890.70,26.31
2580,1.33,0.24,909.91,26.31
2640,1.33,0.24,929.07,26.31
2700,1.32,0.24,948.18,26.31
2760,1.32,0.24,967.22,26.31
2820,1.32,0.24,986.20,26.31
2880,1.32,0.24,1005.08,26.31
2940,1.31,0.24,1023.95,26.31
3000,1.31,0.24,1042.73,26.31
3060,1.31,0.24,1061.47,26.31
3120,1.30,0.24,1080.15,26.31
3180,1.30,0.24,1098.78,26.31
3240,1.30,0.24,1117.37,26.31
3300,1.30,0.24,1135.88,26.31
3360,1.30,0.24,1154.36,26.31
3420,1.29,0.24,1172.81,26.31
3480,1.29,0.24,1191.19,26.31
3540,1.29,0.24,1209.53,26.31
3600,1.29,0.24,1227.84,26.31
3660,1.29,0.24,1246.10,26.31
3720,1.29,0.23,1264.29,26.31
3780,1.29,0.23,1282.47,26.31
