time,voltage,current,joules,temp
1,1.54,0.28,0.43,20.50
2,1.54,0.28,0.86,20.50
3,1.54,0.28,1.29,20.50
4,1.54,0.28,1.72,20.50
5,1.54,0.28,2.15,20.56
6,1.53,0.28,2.58,20.56
7,1.53,0.28,3.01,20.56
8,1.53,0.28,3.43,20.56
9,1.53,0.28,3.86,20.62
10,1.53,0.28,4.28,20.62
11,1.52,0.28,4.70,20.62
12,1.52,0.28,5.13,20.69
13,1.53,0.28,5.55,20.69
14,1.52,0.28,5.97,20.69
15,1.52,0.28,6.39,20.69
16,1.52,0.28,6.81,20.75
17,1.52,0.28,7.23,20.75
18,1.52,0.28,7.65,20.81
19,1.52,0.28,8.07,20.81
20,1.52,0.28,8.49,20.81
21,1.52,0.28,8.91,20.81
22,1.52,0.28,9.33,20.87
23,1.52,0.28,9.75,20.87
24,1.52,0.28,10.17,20.94
25,1.51,0.28,10.59,20.94
26,1.51,0.28,11.01,20.94
27,1.51,0.28,11.42,21.00
28,1.51,0.28,11.84,21.06
29,1.52,0.28,12.26,21.06
30,1.52,0.28,12.68,21.12
31,1.51,0.27,13.09,21.12
32,1.50,0.27,13.50,21.12
33,1.51,0.27,13.92,21.19
34,1.51,0.28,14.33,21.19
35,1.51,0.28,14.75,21.19
36,1.51,0.27,15.16,21.25
37,1.51,0.27,15.58,21.25
38,1.51,0.27,15.99,21.31
39,1.51,0.28,16.41,21.31
40,1.51,0.28,16.83,21.37
41,1.50,0.27,17.24,21.37
42,1.50,0.27,17.65,21.37
43,1.51,0.27,18.06,21.37
44,1.50,0.27,18.47,21.44
45,1.51,0.28,18.89,21.50
46,1.51,0.27,19.30,21.50
47,1.50,0.27,19.71,21.50
48,1.51,0.27,20.13,21.56
49,1.51,0.27,20.54,21.56
50,1.50,0.27,20.95,21.56
51,1.51,0.27,21.37,21.62
52,1.50,0.27,21.78,21.62
53,1.50,0.27,22.19,21.69
54,1.51,0.27,22.60,21.69
55,1.50,0.27,23.01,21.69
56,1.50,0.27,23.42,21.75
57,1.50,0.27,23.83,21.75
58,1.50,0.27,24.24,21.81
59,1.50,0.27,24.65,21.81
60,1.50,0.27,25.07,21.81
61,1.50,0.27,25.47,21.81
62,1.50,0.27,25.88,21.87
63,1.50,0.27,26.29,21.87
64,1.50,0.27,26.70,21.87
65,1.50,0.27,27.11,21.94
66,1.50,0.27,27.52,21.94
67,1.50,0.27,27.93,21.94
68,1.50,0.27,28.34,22.00
69,1.49,0.27,28.75,22.00
70,1.50,0.27,29.16,22.00
71,1.50,0.27,29.57,22.06
72,1.50,0.27,29.97,22.06
73,1.49,0.27,30.38,22.06
74,1.49,0.27,30.79,22.12
75,1.50,0.27,31.19,22.12
76,1.50,0.27,31.60,22.12
77,1.49,0.27,32.01,22.12
78,1.49,0.27,32.41,22.19
79,1.49,0.27,32.82,22.19
80,1.50,0.27,33.23,22.19
81,1.50,0.27,33.64,22.25
82,1.49,0.27,34.05,22.25
83,1.49,0.27,34.45,22.25
84,1.50,0.27,34.86,22.25
85,1.49,0.27,35.27,22.31
86,1.50,0.27,35.68,22.31
87,1.49,0.27,36.08,22.31
88,1.49,0.27,36.48,22.31
89,1.49,0.27,36.89,22.37
90,1.49,0.27,37.30,22.37
91,1.49,0.27,37.70,22.37
92,1.50,0.27,38.11,22.37
93,1.49,0.27,38.51,22.44
94,1.49,0.27,38.91,22.44
95,1.49,0.27,39.32,22.44
96,1.49,0.27,39.73,22.44
97,1.49,0.27,40.13,22.50
98,1.49,0.27,40.54,22.50
99,1.49,0.27,40.94,22.50
100,1.49,0.27,41.34,22.56
101,1.49,0.27,41.75,22.56
102,1.49,0.27,42.15,22.56
103,1.49,0.27,42.56,22.62
104,1.49,0.27,42.96,22.56
105,1.49,0.27,43.37,22.62
106,1.49,0.27,43.77,22.62
107,1.48,0.27,44.17,22.62
108,1.48,0.27,44.57,22.69
109,1.48,0.27,44.97,22.69
110,1.48,0.27,45.37,22.69
111,1.49,0.27,45.78,22.69
112,1.48,0.27,46.18,22.69
113,1.48,0.27,46.58,22.69
114,1.48,0.27,46.98,22.75
115,1.48,0.27,47.38,22.75
116,1.49,0.27,47.78,22.75
117,1.49,0.27,48.19,22.75
118,1.48,0.27,48.59,22.75
119,1.49,0.27,48.99,22.81
120,1.48,0.27,49.39,22.81
121,1.49,0.27,49.80,22.81
122,1.49,0.27,50.20,22.87
123,1.48,0.27,50.60,22.87
124,1.48,0.27,51.00,22.87
125,1.48,0.27,51.40,22.87
126,1.48,0.27,51.80,22.87
127,1.49,0.27,52.21,22.87
128,1.48,0.27,52.60,22.94
129,1.48,0.27,53.00,22.94
130,1.49,0.27,53.41,22.94
131,1.48,0.27,53.81,22.94
132,1.48,0.27,54.21,22.94
133,1.49,0.27,54.61,23.00
134,1.48,0.27,55.01,23.00
135,1.48,0.27,55.41,23.00
136,1.48,0.27,55.81,23.00
137,1.48,0.27,56.21,23.06
138,1.48,0.27,56.61,23.06
139,1.48,0.27,57.00,23.06
140,1.48,0.27,57.40,23.06
141,1.48,0.27,57.80,23.06
142,1.48,0.27,58.20,23.06
143,1.48,0.27,58.60,23.06
144,1.48,0.27,59.00,23.12
145,1.48,0.27,59.40,23.12
146,1.48,0.27,59.80,23.12
147,1.48,0.27,60.20,23.12
148,1.48,0.27,60.60,23.12
149,1.48,0.27,60.99,23.12
150,1.47,0.27,61.39,23.19
151,1.48,0.27,61.79,23.19
152,1.48,0.27,62.19,23.19
153,1.48,0.27,62.59,23.19
154,1.47,0.27,62.98,23.19
155,1.47,0.27,63.38,23.25
156,1.47,0.27,63.77,23.25
157,1.48,0.27,64.17,23.25
158,1.48,0.27,64.58,23.25
159,1.47,0.27,64.97,23.25
160,1.48,0.27,65.37,23.25
161,1.47,0.27,65.76,23.25
162,1.48,0.27,66.16,23.31
163,1.48,0.27,66.56,23.31
164,1.47,0.27,66.96,23.31
165,1.47,0.27,67.35,23.31
166,1.48,0.27,67.75,23.37
167,1.47,0.27,68.14,23.31
168,1.48,0.27,68.54,23.31
169,1.47,0.27,68.94,23.37
170,1.47,0.27,69.34,23.37
171,1.48,0.27,69.73,23.37
172,1.48,0.27,70.13,23.44
173,1.47,0.27,70.53,23.44
174,1.48,0.27,70.92,23.44
175,1.47,0.27,71.32,23.37
176,1.48,0.27,71.72,23.44
177,1.48,0.27,72.12,23.44
178,1.47,0.27,72.51,23.44
179,1.47,0.27,72.91,23.44
180,1.47,0.27,73.30,23.50
181,1.47,0.27,73.70,23.50
182,1.48,0.27,74.10,23.50
183,1.47,0.27,74.49,23.56
184,1.47,0.27,74.88,23.50
185,1.47,0.27,75.28,23.56
186,1.47,0.27,75.67,23.56
187,1.48,0.27,76.07,23.56
188,1.48,0.27,76.46,23.56
189,1.47,0.27,76.86,23.50
190,1.47,0.27,77.25,23.56
191,1.47,0.27,77.64,23.56
192,1.47,0.27,78.04,23.62
193,1.47,0.27,78.43,23.62
194,1.47,0.27,78.83,23.62
195,1.47,0.27,79.22,23.62
196,1.47,0.27,79.61,23.62
197,1.47,0.27,80.00,23.62
198,1.47,0.27,80.40,23.62
199,1.47,0.27,80.79,23.62
200,1.47,0.27,81.19,23.62
201,1.47,0.27,81.58,23.62
202,1.46,0.27,81.97,23.69
203,1.47,0.27,82.36,23.69
204,1.47,0.27,82.76,23.69
205,1.47,0.27,83.15,23.69
206,1.47,0.27,83.54,23.69
207,1.47,0.27,83.94,23.69
208,1.47,0.27,84.33,23.75
209,1.48,0.27,84.73,23.75
210,1.47,0.27,85.12,23.69
211,1.47,0.27,85.52,23.75
212,1.47,0.27,85.91,23.75
213,1.47,0.27,86.30,23.75
214,1.47,0.27,86.70,23.75
215,1.46,0.27,87.09,23.81
216,1.46,0.27,87.48,23.81
217,1.47,0.27,87.87,23.81
218,1.47,0.27,88.27,23.81
219,1.47,0.27,88.66,23.81
220,1.47,0.27,89.05,23.81
221,1.47,0.27,89.44,23.81
222,1.47,0.27,89.84,23.81
223,1.47,0.27,90.23,23.81
224,1.46,0.27,90.62,23.81
225,1.46,0.27,91.01,23.81
226,1.46,0.27,91.40,23.81
227,1.47,0.27,91.80,23.87
228,1.47,0.27,92.19,23.87
229,1.47,0.27,92.58,23.87
230,1.46,0.27,92.97,23.87
231,1.47,0.27,93.37,23.87
232,1.46,0.27,93.76,23.87
233,1.47,0.27,94.15,23.87
234,1.47,0.27,94.54,23.94
235,1.46,0.27,94.93,23.94
236,1.46,0.27,95.32,23.94
237,1.46,0.27,95.71,23.94
238,1.46,0.27,96.10,23.94
239,1.47,0.27,96.50,23.94
240,1.46,0.27,96.89,23.94
241,1.46,0.27,97.28,23.94
242,1.47,0.27,97.67,23.94
243,1.46,0.27,98.06,24.00
244,1.46,0.27,98.45,24.00
245,1.47,0.27,98.84,24.00
246,1.46,0.27,99.23,24.00
247,1.47,0.27,99.62,24.00
248,1.47,0.27,100.01,24.00
249,1.46,0.27,100.40,24.00
250,1.46,0.27,100.79,24.00
251,1.46,0.27,101.18,24.06
252,1.46,0.27,101.57,24.00
253,1.47,0.27,101.96,24.06
254,1.46,0.27,102.35,24.06
255,1.46,0.27,102.75,24.06
256,1.46,0.27,103.13,24.06
257,1.46,0.27,103.52,24.06
258,1.47,0.27,103.91,24.06
259,1.46,0.27,104.30,24.06
260,1.46,0.27,104.69,24.06
261,1.46,0.27,105.08,24.06
262,1.46,0.27,105.47,24.12
263,1.46,0.27,105.86,24.12
264,1.47,0.27,106.25,24.06
265,1.46,0.27,106.64,24.12
266,1.46,0.27,107.02,24.12
267,1.46,0.27,107.41,24.12
268,1.46,0.27,107.80,24.12
269,1.46,0.27,108.19,24.12
270,1.46,0.27,108.58,24.12
271,1.46,0.27,108.97,24.19
272,1.46,0.27,109.36,24.19
273,1.46,0.27,109.74,24.12
274,1.47,0.27,110.14,24.19
275,1.46,0.27,110.53,24.19
276,1.46,0.27,110.91,24.19
277,1.46,0.27,111.30,24.19
278,1.46,0.27,111.69,24.19
279,1.46,0.27,112.08,24.19
280,1.46,0.27,112.47,24.19
281,1.46,0.26,112.85,24.25
282,1.46,0.26,113.24,24.25
283,1.46,0.27,113.62,24.25
284,1.46,0.27,114.01,24.19
285,1.46,0.27,114.40,24.25
286,1.46,0.27,114.79,24.25
287,1.46,0.27,115.18,24.25
288,1.46,0.27,115.57,24.25
289,1.46,0.27,115.96,24.25
290,1.46,0.26,116.34,24.25
291,1.46,0.27,116.73,24.31
292,1.46,0.26,117.12,24.31
293,1.46,0.26,117.50,24.25
294,1.46,0.27,117.89,24.25
295,1.46,0.26,118.28,24.31
296,1.46,0.26,118.66,24.31
297,1.46,0.26,119.05,24.31
298,1.46,0.26,119.43,24.31
299,1.46,0.27,119.82,24.31
300,1.46,0.27,120.21,24.31
301,1.46,0.26,120.59,24.31
302,1.46,0.26,120.98,24.31
303,1.46,0.26,121.36,24.31
304,1.46,0.27,121.75,24.37
305,1.46,0.27,122.14,24.31
306,1.46,0.26,122.52,24.37
307,1.46,0.26,122.91,24.37
308,1.46,0.26,123.29,24.37
309,1.46,0.26,123.68,24.37
310,1.46,0.27,124.07,24.37
311,1.46,0.26,124.45,24.37
312,1.46,0.26,124.84,24.37
313,1.46,0.27,125.22,24.37
314,1.46,0.26,125.61,24.37
315,1.46,0.27,126.00,24.37
316,1.46,0.27,126.39,24.37
317,1.46,0.26,126.77,24.37
318,1.46,0.26,127.16,24.37
319,1.46,0.27,127.54,24.44
320,1.46,0.26,127.93,24.44
321,1.46,0.27,128.32,24.44
322,1.46,0.26,128.70,24.44
323,1.46,0.26,129.09,24.44
324,1.46,0.27,129.47,24.44
325,1.46,0.26,129.86,24.44
326,1.46,0.26,130.24,24.44
327,1.45,0.26,130.62,24.44
328,1.46,0.26,131.01,24.44
329,1.46,0.27,131.40,24.50
330,1.46,0.27,131.79,24.44
331,1.45,0.26,132.17,24.50
332,1.46,0.26,132.55,24.50
333,1.46,0.26,132.94,24.50
334,1.46,0.26,133.32,24.50
335,1.46,0.26,133.71,24.50
336,1.45,0.26,134.09,24.50
337,1.45,0.26,134.47,24.50
338,1.45,0.26,134.85,24.50
339,1.45,0.26,135.24,24.50
340,1.46,0.26,135.62,24.50
341,1.46,0.27,136.01,24.50
342,1.45,0.26,136.39,24.50
343,1.45,0.26,136.77,24.56
344,1.46,0.26,137.16,24.50
345,1.46,0.26,137.54,24.56
346,1.46,0.26,137.93,24.56
347,1.45,0.26,138.31,24.56
348,1.45,0.26,138.69,24.56
349,1.45,0.26,139.07,24.56
350,1.46,0.26,139.46,24.56
351,1.46,0.27,139.85,24.56
352,1.45,0.26,140.23,24.56
353,1.45,0.26,140.61,24.56
354,1.46,0.26,141.00,24.56
355,1.45,0.26,141.38,24.56
356,1.46,0.27,141.77,24.56
357,1.46,0.26,142.15,24.56
358,1.45,0.26,142.53,24.56
359,1.46,0.26,142.92,24.56
360,1.46,0.26,143.30,24.62
361,1.45,0.26,143.68,24.62
362,1.46,0.27,144.07,24.62
363,1.45,0.26,144.45,24.62
364,1.45,0.26,144.83,24.62
365,1.46,0.26,145.22,24.62
366,1.45,0.26,145.60,24.62
367,1.45,0.26,145.98,24.62
368,1.45,0.26,146.37,24.69
369,1.45,0.26,146.75,24.62
370,1.46,0.26,147.13,24.62
371,1.46,0.26,147.52,24.69
372,1.45,0.26,147.90,24.69
373,1.45,0.26,148.28,24.69
374,1.45,0.26,148.66,24.69
375,1.46,0.26,149.05,24.62
376,1.46,0.26,149.43,24.69
377,1.45,0.26,149.81,24.62
378,1.45,0.26,150.19,24.69
379,1.45,0.26,150.57,24.69
380,1.45,0.26,150.95,24.69
381,1.45,0.26,151.34,24.69
382,1.45,0.26,151.72,24.69
383,1.45,0.26,152.10,24.69
384,1.45,0.26,152.48,24.69
385,1.45,0.26,152.86,24.69
386,1.45,0.26,153.24,24.69
387,1.45,0.26,153.62,24.69
388,1.45,0.26,154.00,24.69
389,1.45,0.26,154.38,24.75
390,1.44,0.26,154.76,24.75
391,1.46,0.26,155.14,24.69
392,1.46,0.26,155.53,24.69
393,1.45,0.26,155.91,24.75
394,1.45,0.26,156.29,24.75
395,1.45,0.26,156.67,24.75
396,1.45,0.26,157.05,24.75
397,1.46,0.26,157.44,24.75
398,1.45,0.26,157.82,24.75
399,1.45,0.26,158.20,24.75
400,1.45,0.26,158.58,24.75
401,1.45,0.26,158.96,24.75
402,1.45,0.26,159.34,24.75
403,1.46,0.26,159.73,24.75
404,1.45,0.26,160.11,24.81
405,1.45,0.26,160.49,24.81
406,1.45,0.26,160.87,24.75
407,1.45,0.26,161.25,24.75
408,1.44,0.26,161.63,24.81
409,1.45,0.26,162.01,24.81
410,1.45,0.26,162.39,24.81
411,1.45,0.26,162.77,24.81
412,1.45,0.26,163.15,24.81
413,1.45,0.26,163.53,24.81
414,1.45,0.26,163.91,24.81
415,1.45,0.26,164.29,24.81
416,1.45,0.26,164.67,24.81
417,1.45,0.26,165.06,24.81
418,1.45,0.26,165.44,24.81
419,1.44,0.26,165.81,24.87
420,1.44,0.26,166.19,24.81
421,1.44,0.26,166.57,24.87
422,1.45,0.26,166.95,24.81
423,1.44,0.26,167.33,24.81
424,1.44,0.26,167.70,24.87
425,1.44,0.26,168.08,24.87
426,1.44,0.26,168.46,24.87
427,1.45,0.26,168.84,24.81
428,1.45,0.26,169.22,24.81
429,1.44,0.26,169.59,24.87
430,1.44,0.26,169.97,24.87
431,1.44,0.26,170.35,24.87
432,1.45,0.26,170.73,24.87
433,1.45,0.26,171.11,24.87
434,1.44,0.26,171.48,24.87
435,1.44,0.26,171.86,24.87
436,1.45,0.26,172.24,24.94
437,1.44,0.26,172.62,24.87
438,1.45,0.26,173.00,24.87
439,1.44,0.26,173.38,24.87
440,1.44,0.26,173.75,24.87
441,1.45,0.26,174.13,24.94
442,1.45,0.26,174.51,24.87
443,1.44,0.26,174.89,24.94
444,1.45,0.26,175.27,24.87
445,1.44,0.26,175.65,24.94
446,1.44,0.26,176.03,24.87
447,1.45,0.26,176.41,24.94
448,1.44,0.26,176.78,24.94
449,1.44,0.26,177.16,24.94
450,1.44,0.26,177.54,24.94
451,1.44,0.26,177.92,24.94
452,1.45,0.26,178.30,24.94
453,1.45,0.26,178.68,24.94
454,1.44,0.26,179.05,24.94
