time,voltage,current,joules,temp
57,1.46,0.27,23.04,29.69
117,1.43,0.26,45.92,30.56
177,1.41,0.26,67.98,31.19
237,1.39,0.25,89.44,31.56
297,1.38,0.25,110.45,31.87
357,1.37,0.25,131.09,32.06
417,1.36,0.25,151.42,32.25
477,1.34,0.24,171.43,32.44
537,1.34,0.24,191.19,32.50
597,1.33,0.24,210.68,32.63
657,1.32,0.24,229.94,32.69
717,1.32,0.24,248.96,32.75
777,1.30,0.24,267.62,32.81
837,1.29,0.24,286.08,32.88
897,1.28,0.23,304.39,32.94
957,1.29,0.24,322.56,33.00
1017,1.27,0.23,340.59,33.00
1077,1.28,0.23,358.47,33.06
1137,1.27,0.23,376.21,33.13
1197,1.27,0.23,393.76,33.13
1257,1.27,0.23,411.21,33.19
1317,1.25,0.23,428.57,33.19
1377,1.25,0.23,445.84,33.19
1437,1.26,0.23,462.99,33.25
1497,1.25,0.23,480.09,33.25
1557,1.24,0.22,497.02,33.25
1617,1.24,0.23,513.85,33.31
1677,1.24,0.23,530.64,33.31
1737,1.24,0.23,547.34,33.38
1797,1.24,0.22,563.94,33.31
1857,1.23,0.22,580.45,33.31
1917,1.24,0.22,596.92,33.31
1977,1.23,0.22,613.30,33.31
2037,1.22,0.22,629.59,33.31
2097,1.22,0.22,645.79,33.31
2157,1.23,0.22,661.99,33.38
2217,1.22,0.22,678.09,33.38
2277,1.22,0.22,694.14,33.31
2337,1.22,0.22,710.19,33.38
2397,1.21,0.22,726.20,33.38
2457,1.21,0.22,742.12,33.38
2517,1.21,0.22,757.97,33.38
2577,1.21,0.22,773.77,33.38
2637,1.20,0.22,789.57,33.31
2697,1.20,0.22,805.32,33.31
2757,1.20,0.22,820.99,33.38
2817,1.20,0.22,836.64,33.31
2877,1.19,0.22,852.22,33.31
2937,1.19,0.22,867.76,33.38
2997,1.20,0.22,883.27,33.31
3057,1.19,0.22,898.76,33.31
3117,1.19,0.22,914.15,33.38
3177,1.19,0.22,929.49,33.38
3237,1.19,0.22,944.80,33.38
3297,1.19,0.22,960.08,33.44
3357,1.18,0.21,975.33,33.38
3417,1.18,0.21,990.51,33.44
3477,1.18,0.21,1005.67,33.44
3537,1.18,0.21,1020.83,33.44
3597,1.17,0.21,1035.95,33.44
3657,1.18,0.21,1051.05,33.50
3717,1.17,0.21,1066.10,33.50
3777,1.17,0.21,1081.11,33.50
3837,1.17,0.21,1096.06,33.50
3897,1.17,0.21,1110.99,33.44
3957,1.17,0.21,1125.89,33.50
4017,1.16,0.21,1140.77,33.50
4077,1.16,0.21,1155.57,33.44
4137,1.17,0.21,1170.36,33.44
4197,1.16,0.21,1185.08,33.44
4257,1.16,0.21,1199.77,33.44
4317,1.16,0.21,1214.41,33.44
4377,1.16,0.21,1229.07,33.44
4437,1.16,0.21,1243.68,33.44
4497,1.15,0.21,1258.23,33.38
4557,1.15,0.21,1272.76,33.38
4617,1.15,0.21,1287.28,33.38
4677,1.15,0.21,1301.74,33.38
4737,1.15,0.21,1316.15,33.31
4797,1.15,0.21,1330.49,33.31
4857,1.14,0.21,1344.77,33.25
4917,1.14,0.21,1359.02,33.19
4977,1.14,0.21,1373.21,33.19
5037,1.14,0.21,1387.38,33.13
5097,1.13,0.21,1401.48,33.06
5157,1.13,0.21,1415.53,33.00
5217,1.13,0.21,1429.53,33.00
5277,1.13,0.21,1443.47,32.94
5337,1.13,0.21,1457.37,32.88
5397,1.12,0.20,1471.20,32.81
5457,1.12,0.20,1485.01,32.81
5517,1.12,0.20,1498.74,32.75
5577,1.12,0.20,1512.44,32.69
5637,1.11,0.20,1526.07,32.63
5697,1.11,0.20,1539.64,32.56
5757,1.11,0.20,1553.18,32.50
5817,1.11,0.20,1566.64,32.44
5877,1.11,0.20,1580.06,32.44
5937,1.10,0.20,1593.40,32.38
5997,1.10,0.20,1606.71,32.31
6057,1.10,0.20,1619.93,32.25
6117,1.10,0.20,1633.12,32.19
6177,1.09,0.20,1646.24,32.13
6237,1.10,0.20,1659.34,32.06
6297,1.10,0.20,1672.40,32.06
6357,1.09,0.20,1685.40,32.00
6417,1.09,0.20,1698.30,31.94
6477,1.08,0.20,1711.17,31.87
6537,1.08,0.20,1723.95,31.81
6597,1.08,0.20,1736.69,31.81
6657,1.08,0.20,1749.35,31.75
6717,1.07,0.20,1761.99,31.69
6777,1.07,0.20,1774.54,31.69
6837,1.07,0.19,1787.04,31.62
6897,1.07,0.19,1799.48,31.56
6957,1.06,0.19,1811.85,31.50
7017,1.06,0.19,1824.15,31.50
7077,1.06,0.19,1836.40,31.37
7137,1.06,0.19,1848.57,31.37
7197,1.05,0.19,1860.69,31.31
7257,1.05,0.19,1872.76,31.31
7317,1.05,0.19,1884.73,31.25
7377,1.04,0.19,1896.65,31.19
7437,1.04,0.19,1908.50,31.12
7497,1.04,0.19,1920.30,31.06
7557,1.04,0.19,1932.03,31.06
7617,1.04,0.19,1943.69,31.00
7677,1.03,0.19,1955.29,30.94
7737,1.03,0.19,1966.80,30.87
7797,1.02,0.19,1978.25,30.87
7857,1.02,0.19,1989.65,30.81
7917,1.02,0.18,2000.96,30.75
7977,1.01,0.18,2012.24,30.69
8037,1.01,0.18,2023.44,30.69
8097,1.01,0.18,2034.59,30.62
8157,1.01,0.18,2045.66,30.62
8217,1.00,0.18,2056.66,30.56
8277,1.00,0.18,2067.59,30.56
8337,1.00,0.18,2078.47,30.50
8397,0.99,0.18,2089.25,30.44
8457,0.99,0.18,2099.98,30.44
8517,0.99,0.18,2110.64,30.37
8577,0.98,0.18,2121.23,30.31
8637,0.97,0.18,2131.75,30.31
8697,0.98,0.18,2142.20,30.25
8757,0.97,0.18,2152.59,30.25
8817,0.97,0.18,2162.93,30.19
8877,0.97,0.18,2173.19,30.12
8937,0.96,0.17,2183.38,30.12
8997,0.96,0.17,2193.49,30.06
9057,0.96,0.17,2203.53,30.00
9117,0.96,0.17,2213.51,30.00
9177,0.95,0.17,2223.41,29.94
9237,0.95,0.17,2233.25,29.87
9297,0.94,0.17,2243.01,29.87
9357,0.94,0.17,2252.70,29.81
9417,0.94,0.17,2262.33,29.81
9477,0.93,0.17,2271.90,29.75
9537,0.93,0.17,2281.40,29.69
9597,0.93,0.17,2290.84,29.69
9657,0.93,0.17,2300.19,29.62
9717,0.92,0.17,2309.46,29.56
9777,0.92,0.17,2318.69,29.56
9837,0.92,0.17,2327.86,29.50
9897,0.91,0.17,2336.94,29.50
9957,0.91,0.17,2345.95,29.44
10017,0.90,0.16,2354.89,29.44
10077,0.90,0.16,2363.75,29.37
10137,0.90,0.16,2372.53,29.31
10197,0.89,0.16,2381.26,29.31
10257,0.89,0.16,2389.90,29.25
10317,0.89,0.16,2398.47,29.19
10377,0.88,0.16,2406.96,29.19
10437,0.88,0.16,2415.39,29.19
10497,0.87,0.16,2423.73,29.12
10557,0.87,0.16,2432.01,29.12
10617,0.87,0.16,2440.21,29.06
10677,0.86,0.16,2448.36,29.00
10737,0.86,0.16,2456.43,29.00
10797,0.85,0.16,2464.42,28.94
10857,0.85,0.15,2472.33,28.94
10917,0.85,0.15,2480.17,28.87
10977,0.84,0.15,2487.95,28.81
11037,0.83,0.15,2495.64,28.81
11097,0.83,0.15,2503.25,28.75
11157,0.83,0.15,2510.80,28.75
11217,0.83,0.15,2518.27,28.69
11277,0.82,0.15,2525.66,28.69
11337,0.82,0.15,2532.98,28.62
11397,0.82,0.15,2540.23,28.62
11457,0.81,0.15,2547.39,28.56
11517,0.80,0.15,2554.48,28.56
11577,0.80,0.15,2561.50,28.50
11637,0.80,0.14,2568.45,28.50
11697,0.80,0.14,2575.34,28.44
