time,voltage,current,joules,temp
1,1.48,0.27,0.40,28.37
2,0.00,0.00,0.40,28.44
time,voltage,current,joules,temp
1,1.53,0.28,0.43,28.37
2,1.52,0.28,0.85,28.50
3,1.53,0.28,1.27,28.50
4,1.52,0.28,1.70,28.50
5,1.52,0.28,2.12,28.50
6,1.52,0.28,2.54,28.50
7,1.51,0.28,2.95,28.56
8,1.51,0.28,3.37,28.56
9,1.52,0.28,3.79,28.62
10,1.51,0.27,4.20,28.62
11,1.51,0.27,4.62,28.62
12,1.51,0.28,5.03,28.62
13,1.50,0.27,5.44,28.69
14,1.50,0.27,5.85,28.69
15,1.50,0.27,6.26,28.69
16,1.50,0.27,6.67,28.75
17,1.50,0.27,7.08,28.75
18,1.50,0.27,7.49,28.75
19,1.49,0.27,7.90,28.81
20,1.50,0.27,8.31,28.81
21,1.49,0.27,8.71,28.87
22,1.50,0.27,9.12,28.87
23,1.50,0.27,9.53,28.87
24,1.49,0.27,9.93,28.94
25,1.49,0.27,10.34,28.94
26,1.49,0.27,10.74,28.94
27,1.49,0.27,11.14,29.00
28,1.49,0.27,11.55,29.00
29,1.49,0.27,11.95,29.06
30,1.48,0.27,12.35,29.06
31,1.48,0.27,12.75,29.06
32,1.48,0.27,13.15,29.12
33,1.49,0.27,13.56,29.12
34,1.48,0.27,13.96,29.19
35,1.48,0.27,14.36,29.19
36,1.48,0.27,14.75,29.19
37,1.48,0.27,15.15,29.25
38,1.49,0.27,15.56,29.25
39,1.48,0.27,15.96,29.31
40,1.47,0.27,16.35,29.31
41,1.47,0.27,16.75,29.31
42,1.48,0.27,17.15,29.37
43,1.47,0.27,17.54,29.37
44,1.48,0.27,17.94,29.37
45,1.48,0.27,18.34,29.44
46,1.47,0.27,18.73,29.44
47,1.47,0.27,19.12,29.50
48,1.47,0.27,19.52,29.50
49,1.47,0.27,19.91,29.50
50,1.47,0.27,20.31,29.50
51,1.47,0.27,20.70,29.56
52,1.46,0.27,21.09,29.56
53,1.47,0.27,21.48,29.62
54,1.46,0.27,21.87,29.62
55,1.46,0.27,22.26,29.62
56,1.46,0.27,22.65,29.69
57,1.46,0.27,23.04,29.69
58,1.47,0.27,23.44,29.69
59,1.47,0.27,23.83,29.69
60,1.46,0.27,24.22,29.69
61,1.46,0.27,24.60,29.81
62,1.46,0.27,24.99,29.75
63,1.46,0.27,25.38,29.81
64,1.46,0.27,25.77,29.81
65,1.46,0.26,26.16,29.81
66,1.46,0.27,26.55,29.87
67,1.46,0.27,26.93,29.87
68,1.46,0.26,27.32,29.87
69,1.46,0.27,27.71,29.94
70,1.46,0.26,28.09,29.94
71,1.46,0.26,28.48,29.94
72,1.45,0.26,28.86,29.94
73,1.46,0.26,29.24,29.94
74,1.46,0.27,29.63,30.00
75,1.46,0.26,30.02,30.00
76,1.45,0.26,30.40,30.00
77,1.45,0.26,30.78,30.06
78,1.45,0.26,31.16,30.06
79,1.46,0.27,31.55,30.06
80,1.46,0.26,31.93,30.12
81,1.45,0.26,32.31,30.12
82,1.45,0.26,32.70,30.12
83,1.46,0.26,33.08,30.12
84,1.45,0.26,33.46,30.12
85,1.46,0.27,33.85,30.19
86,1.45,0.26,34.23,30.19
87,1.45,0.26,34.61,30.19
88,1.45,0.26,34.99,30.19
89,1.45,0.26,35.38,30.19
90,1.45,0.26,35.76,30.25
91,1.45,0.26,36.14,30.25
92,1.45,0.26,36.52,30.25
93,1.44,0.26,36.90,30.31
94,1.45,0.26,37.28,30.31
95,1.44,0.26,37.65,30.31
96,1.44,0.26,38.03,30.31
97,1.44,0.26,38.41,30.31
98,1.44,0.26,38.78,30.37
99,1.45,0.26,39.16,30.37
100,1.45,0.26,39.54,30.37
101,1.44,0.26,39.92,30.37
102,1.44,0.26,40.30,30.37
103,1.44,0.26,40.67,30.44
104,1.45,0.26,41.05,30.44
105,1.45,0.26,41.43,30.44
106,1.44,0.26,41.81,30.44
107,1.44,0.26,42.18,30.44
108,1.44,0.26,42.56,30.50
109,1.44,0.26,42.93,30.50
110,1.44,0.26,43.31,30.50
111,1.44,0.26,43.68,30.50
112,1.43,0.26,44.06,30.56
113,1.43,0.26,44.43,30.56
114,1.43,0.26,44.80,30.56
115,1.44,0.26,45.17,30.56
116,1.44,0.26,45.55,30.56
117,1.43,0.26,45.92,30.56
118,1.44,0.26,46.30,30.56
119,1.43,0.26,46.67,30.62
120,1.44,0.26,47.04,30.62
121,1.44,0.26,47.42,30.62
122,1.43,0.26,47.79,30.62
123,1.43,0.26,48.16,30.69
124,1.43,0.26,48.53,30.62
125,1.43,0.26,48.90,30.69
126,1.44,0.26,49.28,30.69
127,1.43,0.26,49.65,30.69
128,1.43,0.26,50.02,30.69
129,1.43,0.26,50.39,30.69
130,1.43,0.26,50.76,30.75
131,1.43,0.26,51.13,30.75
132,1.44,0.26,51.51,30.75
133,1.43,0.26,51.88,30.75
134,1.43,0.26,52.25,30.75
135,1.43,0.26,52.62,30.75
136,1.42,0.26,52.99,30.81
137,1.43,0.26,53.36,30.81
138,1.43,0.26,53.73,30.81
139,1.42,0.26,54.10,30.81
140,1.43,0.26,54.47,30.81
141,1.43,0.26,54.84,30.87
142,1.42,0.26,55.20,30.87
143,1.42,0.26,55.57,30.87
144,1.42,0.26,55.94,30.87
145,1.43,0.26,56.31,30.87
146,1.43,0.26,56.68,30.87
147,1.42,0.26,57.04,30.94
148,1.42,0.26,57.41,30.87
149,1.42,0.26,57.77,30.94
150,1.43,0.26,58.14,30.94
151,1.42,0.26,58.51,30.94
152,1.42,0.26,58.88,30.94
153,1.42,0.26,59.24,30.94
154,1.41,0.26,59.60,30.94
155,1.42,0.26,59.97,31.00
156,1.42,0.26,60.33,31.00
157,1.42,0.26,60.70,31.00
158,1.42,0.26,61.07,31.00
159,1.42,0.26,61.43,31.00
160,1.41,0.26,61.79,31.00
161,1.42,0.26,62.16,31.00
162,1.42,0.26,62.53,31.00
163,1.42,0.26,62.89,31.06
164,1.41,0.26,63.26,31.06
165,1.42,0.26,63.62,31.06
166,1.41,0.26,63.98,31.06
167,1.42,0.26,64.35,31.06
168,1.41,0.26,64.71,31.06
169,1.41,0.26,65.07,31.06
170,1.42,0.26,65.44,31.12
171,1.42,0.26,65.80,31.12
172,1.41,0.26,66.16,31.12
173,1.42,0.26,66.53,31.12
174,1.41,0.26,66.89,31.12
175,1.42,0.26,67.26,31.12
176,1.42,0.26,67.62,31.12
177,1.41,0.26,67.98,31.19
178,1.41,0.26,68.35,31.19
179,1.41,0.26,68.71,31.19
180,1.41,0.26,69.07,31.19
181,1.41,0.26,69.43,31.19
182,1.41,0.26,69.79,31.19
183,1.41,0.26,70.15,31.19
184,1.41,0.26,70.51,31.19
185,1.41,0.26,70.87,31.25
186,1.42,0.26,71.23,31.19
187,1.41,0.26,71.59,31.25
188,1.41,0.26,71.95,31.25
189,1.41,0.26,72.31,31.25
190,1.41,0.26,72.67,31.25
191,1.41,0.26,73.03,31.25
192,1.41,0.26,73.40,31.25
193,1.41,0.26,73.75,31.25
194,1.40,0.25,74.11,31.31
195,1.40,0.25,74.47,31.31
196,1.40,0.25,74.83,31.25
197,1.41,0.26,75.19,31.31
198,1.40,0.25,75.55,31.31
199,1.40,0.25,75.90,31.31
200,1.41,0.26,76.26,31.31
201,1.40,0.25,76.62,31.37
202,1.41,0.26,76.98,31.31
203,1.41,0.26,77.34,31.37
204,1.40,0.25,77.70,31.37
205,1.40,0.25,78.05,31.37
206,1.41,0.26,78.41,31.37
207,1.40,0.25,78.77,31.37
208,1.41,0.26,79.13,31.37
209,1.40,0.25,79.49,31.37
210,1.40,0.25,79.84,31.37
211,1.41,0.26,80.20,31.37
212,1.41,0.26,80.56,31.44
213,1.40,0.25,80.92,31.37
214,1.40,0.25,81.28,31.37
215,1.40,0.25,81.63,31.44
216,1.41,0.26,81.99,31.44
217,1.40,0.25,82.35,31.44
218,1.40,0.25,82.70,31.44
219,1.40,0.25,83.06,31.44
220,1.40,0.25,83.41,31.44
221,1.40,0.25,83.77,31.44
222,1.40,0.25,84.12,31.50
223,1.40,0.25,84.48,31.44
224,1.40,0.25,84.83,31.44
225,1.40,0.25,85.19,31.50
226,1.40,0.25,85.54,31.50
227,1.40,0.25,85.90,31.50
228,1.40,0.25,86.25,31.50
229,1.40,0.25,86.61,31.50
230,1.40,0.25,86.96,31.50
231,1.39,0.25,87.32,31.50
232,1.40,0.25,87.67,31.50
233,1.40,0.25,88.03,31.56
234,1.39,0.25,88.38,31.50
235,1.39,0.25,88.73,31.56
236,1.39,0.25,89.08,31.56
237,1.39,0.25,89.44,31.56
238,1.40,0.25,89.79,31.56
239,1.39,0.25,90.15,31.56
240,1.39,0.25,90.50,31.56
241,1.40,0.25,90.85,31.56
242,1.39,0.25,91.20,31.56
243,1.39,0.25,91.55,31.62
244,1.40,0.25,91.91,31.62
245,1.39,0.25,92.26,31.62
246,1.40,0.25,92.61,31.62
247,1.40,0.25,92.97,31.62
248,1.39,0.25,93.32,31.62
249,1.39,0.25,93.67,31.62
250,1.39,0.25,94.02,31.62
251,1.39,0.25,94.37,31.62
252,1.40,0.25,94.73,31.62
253,1.39,0.25,95.08,31.62
254,1.39,0.25,95.43,31.62
255,1.39,0.25,95.78,31.69
256,1.39,0.25,96.13,31.62
257,1.39,0.25,96.48,31.62
258,1.39,0.25,96.83,31.69
259,1.39,0.25,97.18,31.69
260,1.39,0.25,97.53,31.69
261,1.39,0.25,97.88,31.69
262,1.40,0.25,98.24,31.69
263,1.39,0.25,98.59,31.69
264,1.39,0.25,98.94,31.69
265,1.39,0.25,99.29,31.75
266,1.39,0.25,99.64,31.69
267,1.39,0.25,99.99,31.69
268,1.39,0.25,100.34,31.69
269,1.39,0.25,100.69,31.69
270,1.39,0.25,101.04,31.69
271,1.39,0.25,101.39,31.75
272,1.39,0.25,101.74,31.69
273,1.39,0.25,102.09,31.75
274,1.39,0.25,102.44,31.75
275,1.38,0.25,102.79,31.81
276,1.39,0.25,103.14,31.75
277,1.39,0.25,103.49,31.75
278,1.39,0.25,103.84,31.75
279,1.39,0.25,104.19,31.75
280,1.38,0.25,104.54,31.81
281,1.39,0.25,104.89,31.81
282,1.39,0.25,105.24,31.75
283,1.38,0.25,105.58,31.81
284,1.38,0.25,105.93,31.81
285,1.39,0.25,106.28,31.81
286,1.38,0.25,106.62,31.81
287,1.39,0.25,106.97,31.75
288,1.39,0.25,107.32,31.81
289,1.38,0.25,107.67,31.81
290,1.38,0.25,108.02,31.81
291,1.38,0.25,108.37,31.81
292,1.38,0.25,108.71,31.87
293,1.39,0.25,109.06,31.81
294,1.38,0.25,109.41,31.81
295,1.38,0.25,109.76,31.81
296,1.38,0.25,110.10,31.87
297,1.38,0.25,110.45,31.87
298,1.39,0.25,110.80,31.87
299,1.38,0.25,111.14,31.87
300,1.38,0.25,111.49,31.81
301,1.38,0.25,111.83,31.87
302,1.38,0.25,112.18,31.87
303,1.39,0.25,112.53,31.87
304,1.39,0.25,112.88,31.87
305,1.38,0.25,113.22,31.87
306,1.38,0.25,113.57,31.87
307,1.38,0.25,113.91,31.87
308,1.38,0.25,114.26,31.87
309,1.38,0.25,114.60,31.87
310,1.38,0.25,114.95,31.94
311,1.38,0.25,115.29,31.87
312,1.38,0.25,115.64,31.87
313,1.38,0.25,115.98,31.94
314,1.38,0.25,116.33,31.94
315,1.38,0.25,116.68,31.94
316,1.38,0.25,117.02,31.94
317,1.37,0.25,117.37,31.94
318,1.38,0.25,117.71,31.94
319,1.38,0.25,118.05,31.94
320,1.38,0.25,118.40,31.94
321,1.38,0.25,118.75,31.94
322,1.37,0.25,119.09,31.94
323,1.38,0.25,119.43,31.94
324,1.38,0.25,119.78,31.94
325,1.38,0.25,120.12,31.94
326,1.37,0.25,120.47,31.94
327,1.37,0.25,120.81,31.94
328,1.38,0.25,121.15,31.94
329,1.38,0.25,121.50,32.00
330,1.37,0.25,121.84,32.00
331,1.37,0.25,122.19,32.00
332,1.37,0.25,122.53,32.00
333,1.37,0.25,122.87,32.00
334,1.38,0.25,123.22,32.00
335,1.37,0.25,123.56,32.00
336,1.37,0.25,123.90,32.00
337,1.37,0.25,124.24,32.00
338,1.37,0.25,124.59,31.94
339,1.38,0.25,124.93,32.00
340,1.38,0.25,125.27,32.00
341,1.37,0.25,125.62,32.00
342,1.37,0.25,125.96,32.00
343,1.37,0.25,126.30,32.06
344,1.38,0.25,126.64,32.00
345,1.38,0.25,126.99,32.00
346,1.37,0.25,127.33,32.00
347,1.37,0.25,127.67,32.06
348,1.37,0.25,128.01,32.06
349,1.37,0.25,128.35,32.06
350,1.37,0.25,128.69,32.06
351,1.37,0.25,129.03,32.06
352,1.37,0.25,129.37,32.06
353,1.38,0.25,129.72,32.06
354,1.37,0.25,130.06,32.06
355,1.38,0.25,130.40,32.06
356,1.37,0.25,130.75,32.06
357,1.37,0.25,131.09,32.06
358,1.37,0.25,131.43,32.06
359,1.37,0.25,131.77,32.06
360,1.37,0.25,132.11,32.06
361,1.38,0.25,132.46,32.06
362,1.37,0.25,132.80,32.13
363,1.37,0.25,133.14,32.13
364,1.37,0.25,133.48,32.13
365,1.37,0.25,133.82,32.06
366,1.37,0.25,134.16,32.13
367,1.37,0.25,134.50,32.13
368,1.37,0.25,134.84,32.13
369,1.37,0.25,135.18,32.06
370,1.37,0.25,135.52,32.13
371,1.37,0.25,135.86,32.13
372,1.37,0.25,136.20,32.13
373,1.37,0.25,136.54,32.13
374,1.37,0.25,136.88,32.13
375,1.37,0.25,137.23,32.13
376,1.36,0.25,137.56,32.13
377,1.36,0.25,137.90,32.13
378,1.36,0.25,138.24,32.13
379,1.36,0.25,138.58,32.13
380,1.37,0.25,138.92,32.13
381,1.37,0.25,139.25,32.13
382,1.36,0.25,139.59,32.19
383,1.36,0.25,139.93,32.19
384,1.36,0.25,140.26,32.19
385,1.37,0.25,140.60,32.19
386,1.37,0.25,140.94,32.19
387,1.36,0.25,141.28,32.19
388,1.36,0.25,141.62,32.19
389,1.36,0.25,141.95,32.19
390,1.37,0.25,142.30,32.19
391,1.37,0.25,142.64,32.19
392,1.36,0.25,142.97,32.19
393,1.36,0.25,143.31,32.13
394,1.37,0.25,143.65,32.19
395,1.36,0.25,143.99,32.19
396,1.37,0.25,144.33,32.19
397,1.37,0.25,144.67,32.19
398,1.36,0.25,145.01,32.19
399,1.37,0.25,145.35,32.19
400,1.37,0.25,145.69,32.25
401,1.36,0.25,146.02,32.19
402,1.37,0.25,146.37,32.19
403,1.36,0.25,146.70,32.19
404,1.36,0.25,147.04,32.19
405,1.37,0.25,147.38,32.25
406,1.36,0.25,147.71,32.19
407,1.36,0.25,148.05,32.25
408,1.36,0.25,148.39,32.25
409,1.36,0.25,148.72,32.19
410,1.36,0.25,149.06,32.25
411,1.37,0.25,149.40,32.25
412,1.36,0.25,149.73,32.25
413,1.36,0.25,150.07,32.25
414,1.36,0.25,150.41,32.25
415,1.36,0.25,150.74,32.25
416,1.36,0.25,151.08,32.25
417,1.36,0.25,151.42,32.25
418,1.36,0.25,151.75,32.25
419,1.36,0.25,152.09,32.25
